,PROVINCE,MKT_CAP_CSRC,PB_LYR
300673.SZ,浙江省,4289720820.0,4.180591458557123
600380.SH,广东省,25134743964.839996,2.4270789624016085
300316.SZ,浙江省,30134120479.440002,6.621307000398311
600055.SH,北京,8231222548.780001,3.940260586249118
600873.SH,西藏自治区,14062432060.140003,1.5661059555948789
600563.SH,福建省,11614500000.0,4.412487300298188
300725.SZ,江苏省,12239056519.530003,16.51991753550896
000606.SZ,青海省,2994275470.23,1.803669524744473
600426.SH,山东省,28368946040.000004,1.993434431915713
002614.SZ,福建省,5169135525.000001,1.5262140301417306
603345.SH,福建省,24869187241.289997,9.064250217693251
600606.SH,上海,68628390731.399994,0.8698017142858404
600548.SH,广东省,13687731613.300001,1.1334353739966412
600859.SH,北京,11154717529.5,0.9786977326395363
600048.SH,广东省,189610208324.18,1.2152790981470125
600352.SH,浙江省,40308781745.4,1.6427961491015775
300578.SZ,上海,7260529084.400002,6.569656272719429
300207.SZ,广东省,24964943116.21,4.3270123251901715
300413.SZ,湖南省,84567931772.5,9.627651088589932
600566.SH,湖北省,17545353421.320004,2.8742000943730623
600782.SH,江西省,13233199188.400002,0.6095048941172895
300682.SZ,江苏省,19668953284.72,4.239895168663428
000157.SZ,湖南省,44746966129.5,1.3991705520101991
002786.SZ,广东省,3316787999.9999995,3.7264190620999376
002179.SZ,河南省,40403295157.5,4.94921450792341
300132.SZ,福建省,9034999696.14,2.983799381233723
600486.SH,江苏省,24977851904.199997,4.941828515701063
002153.SZ,北京,33532092265.65,3.8927617110553556
600383.SH,广东省,59863378164.72,1.1066529160036567
002074.SZ,江苏省,27420684357.24,3.0795800258434167
600038.SH,黑龙江省,25901606901.039997,3.16841879924677
600850.SH,上海,9915777256.440002,3.8772455844028886
600699.SH,浙江省,25673208598.75,2.0410886269872957
600583.SH,天津,22283628192.0,0.9833626836990811
600398.SH,江苏省,27271497516.85,2.005006006126106
300496.SZ,北京,25740840453.15,13.434804817518541
300572.SZ,广东省,8663864492.16,10.209224034121435
603609.SH,辽宁省,14019026819.199999,2.460281408981898
603197.SH,上海,4724917592.15,4.549492132070325
300047.SZ,广东省,4859614400.64,1.5427548320949422
300383.SZ,北京,42976446799.85,5.147863857856743
000789.SZ,江西省,12191843536.62,2.4071362881416722
601169.SH,北京,105292061674.56,0.5083405108630853
600958.SH,上海,56801801644.56,1.2337434750843483
600585.SH,安徽省,243381901932.15002,2.350543182349443
600760.SH,山东省,48103371939.74999,5.536675075526767
300253.SZ,上海,42461045309.020004,11.373502132960432
600742.SH,吉林省,5030872545.6,0.9145738288220152
300003.SZ,北京,70553455671.6,9.42878021108406
600511.SH,北京,24046010546.26,2.282035145228295
603328.SH,广东省,10423566510.84,2.9227019795602884
000036.SZ,广东省,6143486863.5,1.241665176351593
002958.SZ,山东省,25222222224.24,1.0330510861108197
000725.SZ,北京,133085136920.67139,1.4130492632298948
000656.SZ,重庆,43465286742.240005,1.5882324068415419
002007.SZ,河南省,69435397591.56,10.611958365257943
000858.SZ,四川省,554681783914.5,7.4663689932941955
002460.SZ,江西省,54238463946.4,7.680875293052027
300347.SZ,浙江省,58311691202.2,13.80008789622659
601212.SH,甘肃省,19548604709.039997,1.389827335960878
002013.SZ,湖北省,30024106045.440002,3.079396781459789
601615.SH,广东省,16004779584.8,2.381458576672692
002950.SZ,湖北省,14054270266.02,6.850078314157694
000776.SZ,广东省,81804608032.48,1.1544319972045505
002341.SZ,广东省,6210436650.879999,1.2599727799424618
600332.SH,广东省,44074681251.15,2.1074622606744824
300676.SZ,广东省,41438357000.0,9.605444902113565
600739.SH,辽宁省,26938189859.76,1.2481454619238161
601598.SH,北京,17344525687.5,0.8587848468119785
300176.SZ,广东省,2532816432.0,2.8132089283303463
002049.SZ,河北省,38156713827.840004,9.110481077603165
600614.SH,吉林省,1688349523.18036,3.9653492887110455
000712.SZ,广东省,11235840000.0,3.361706628556464
002949.SZ,广东省,3158043300.0,2.7466111953495735
600201.SH,内蒙古自治区,28955636596.11,6.230668749307428
600664.SH,黑龙江省,9275970581.2,1.6999650983565238
600340.SH,河北省,70812218861.5,1.4152176832745518
002465.SZ,广东省,29830903429.6,3.1091405968325723
002415.SZ,浙江省,297545140560.64,6.626245236158396
300332.SZ,北京,4594648483.98,1.3512838734516843
000651.SZ,广东省,342836502737.22003,3.112350262641521
000100.SZ,广东省,64124799528.060005,2.1295468425740403
600460.SH,浙江省,19392270654.92,5.739092801690624
600022.SH,山东省,14121049004.640001,0.6805974193227937
000401.SZ,河北省,28594436235.079994,1.8626925751490033
601117.SH,北京,29696659999.999996,0.8450395474054709
002938.SZ,广东省,99114153390.08,4.998380091819779
600888.SH,新疆维吾尔自治区,4659629579.999999,1.0480995819896777
300618.SZ,江苏省,14954263045.5,8.409633413962208
600485.SH,北京,4064002466.9799995,-0.3586924915335648
600578.SH,北京,19565529925.3,0.8277451257429381
300506.SZ,广东省,3497944443.8399997,1.7400547492155576
300016.SZ,北京,4457155782.76,3.0728258956921524
601009.SH,江苏省,77654451710.48,0.8938071841711943
600143.SH,广东省,28773097794.739998,2.730018343597359
300523.SZ,北京,9875467733.1,6.502669923377441
300630.SZ,海南省,20814835708.5,18.163961245014143
600897.SH,福建省,5262302700.000001,1.4085797109567697
600271.SH,北京,32445256660.70001,2.721587301021771
300285.SZ,山东省,23361020680.75,6.396308896672956
600372.SH,北京,24668550608.42,3.1463319332058854
600779.SH,四川省,22404705710.280003,10.608321167371251
600066.SH,河南省,29268276528.06,1.6686282442314695
000709.SZ,河北省,21980518253.64,0.3883795462857918
300659.SZ,山东省,13515607304.0,23.50218334990571
300662.SZ,北京,6961540529.999998,8.082401374231061
002439.SZ,北京,38762396967.840004,8.883737891251398
300732.SZ,河南省,3223514145.5999994,1.4708352727481482
600325.SH,广东省,14333576800.319998,0.7254892576678434
603096.SH,天津,8574467960.0,4.492756514336157
600160.SH,浙江省,18420064551.13,1.4288098857116491
300144.SZ,浙江省,43970438106.0,4.5735512553387565
600702.SH,四川省,8284808840.0,2.727010234193398
600886.SH,北京,51641637670.670006,1.2788119120639083
300529.SZ,广东省,49130145295.99999,22.93154291784018
300463.SZ,四川省,20975068416.4,6.709063921775259
002419.SZ,广东省,10994748000.0,1.5820745412441466
002458.SZ,山东省,16967830571.509998,4.712333264640476
600623.SH,上海,10518529513.880001,0.6010640261675447
002541.SZ,安徽省,9269823698.099998,1.8772346310954668
002837.SZ,广东省,9881908922.0,7.945050116550163
600176.SH,浙江省,30435046517.809998,1.945150476336893
002405.SZ,北京,29776528920.6,3.817726661136534
300702.SZ,浙江省,15306779040.0,7.513873239988945
002925.SZ,福建省,23776863959.999996,5.728800262531901
601128.SH,江苏省,19158582915.749996,1.1319383494485973
600017.SH,山东省,7627621642.24,0.646245352921465
300451.SZ,浙江省,18464195559.68,7.129766790142672
600029.SH,广东省,44723760062.8,1.0444344254453564
600657.SH,北京,11350476808.1,0.5190011027614817
300203.SZ,浙江省,6113510074.0,1.837321026042064
603160.SH,广东省,109968406634.93999,17.077366868477547
002878.SZ,北京,4401896695.86,6.311146780163465
300672.SZ,湖南省,8696395348.0,7.607527444435785
300550.SZ,浙江省,3312975435.0,5.358394906771498
300569.SZ,山东省,3483770230.0799994,1.69521068072287
002391.SZ,江苏省,5831047362.419999,1.6862378262598
600869.SH,青海省,9521023280.34,1.943761901811621
600636.SH,上海,5501793054.349999,1.8156278534250296
600195.SH,北京,12930962800.0,3.1365784096305647
600507.SH,江西省,11433042976.0,1.7472219762678034
600681.SH,湖北省,7978353914.300002,1.766448627309405
600562.SH,江苏省,9335260785.0,5.16574319659165
600875.SH,四川省,26037282258.1,0.9921383032958782
300357.SZ,浙江省,28221177599.999996,22.203988989166625
300579.SZ,北京,8060400000.0,11.860186855918464
600196.SH,上海,67246437024.799995,2.6924333322620564
600376.SH,北京,16663991463.32,0.5650520107464131
600622.SH,上海,6298678688.400001,0.9875166672731858
600499.SH,广东省,6640036005.420001,1.4277384863740137
300568.SZ,广东省,7370410927.5,2.9856907015459475
300690.SZ,山东省,2678934842.85,2.6053865162663588
000338.SZ,山东省,86148191410.10002,2.5227590503865596
002032.SZ,浙江省,54637318811.40002,7.992098573152759
600305.SH,江苏省,15396942209.999998,6.837561749783809
002024.SZ,江苏省,80997344998.5,0.9212418200684096
001979.SZ,广东省,131985808400.46002,1.3915876896981783
002044.SZ,江苏省,47039051688.00001,6.429935410678473
000860.SZ,北京,40678501676.76,5.472882881449835
002466.SZ,四川省,27710384425.08,3.07697476170757
600999.SH,广东省,105058179697.13,1.4470379653200915
002023.SZ,四川省,11162667294.249998,3.1297648458422302
600118.SH,北京,40854999614.25,7.13330239586328
002736.SZ,广东省,88888000000.0,1.5813812681295998
600138.SH,北京,7354214400.0,1.11559284319962
002739.SZ,北京,35686613704.96001,2.5799770214681144
601600.SH,北京,37143527831.72,0.8844624181951605
002230.SZ,安徽省,75345167546.09001,6.598829875215766
600277.SH,内蒙古自治区,10462751369.18,0.6806040280958424
002304.SZ,江苏省,150427542160.0,4.120305129840315
601162.SH,湖北省,40462421389.6,3.337616145965721
600482.SH,河北省,27679284059.459995,1.012834848103341
300118.SZ,浙江省,11086727274.300003,1.3441027894302555
600967.SH,内蒙古自治区,16642873397.449997,1.813148585098799
300742.SZ,江苏省,1959324307.2,6.745456222012457
300262.SZ,上海,2786230715.8400006,1.179752912525411
601618.SH,北京,46416809842.0,0.5500925075797813
600019.SH,上海,108683886050.0,0.6104014870105313
000961.SZ,江苏省,31161546479.159996,1.4534804577767484
600197.SH,新疆维吾尔自治区,6041689472.13,2.123590021171095
300595.SZ,安徽省,27511383853.199997,20.67858680629037
601689.SH,浙江省,25741701075.6,3.4901671385567425
600754.SH,上海,24179337539.2,2.0350993468237655
300081.SZ,北京,4937042983.08,1.8941469839932454
002773.SZ,四川省,35050175290.520004,7.585718580223604
600116.SH,重庆,8073134731.260001,2.6415565068903284
002798.SZ,四川省,11602711398.960001,3.180110982550352
300274.SZ,安徽省,16068645735.5,1.869708571570829
300369.SZ,北京,17750136780.639996,5.246689131569839
300122.SZ,重庆,130224000000.0,22.658143370626927
300759.SZ,北京,42527889952.8,6.586601982345194
600299.SH,北京,32477824416.03,2.353879624391878
002352.SZ,广东省,202661014291.28998,4.7775196111506215
600362.SH,江西省,26957463790.950005,0.8527884718489791
600211.SH,西藏自治区,6872837007.96,2.8201344936168757
000716.SZ,广西壮族自治区,2858696316.1499996,1.036937372864293
300546.SZ,广东省,3155725649.9999995,3.695300773046199
300633.SZ,广东省,12428428800.0,8.850488497912538
002916.SZ,广东省,86977968000.0,17.39279725082879
002368.SZ,北京,16795917410.869999,5.176634651059328
601633.SH,河北省,50572646310.0,1.4076998337472764
300628.SZ,福建省,56312878400.0,12.810392341887185
300015.SZ,湖南省,144977565423.6,21.98614684708521
300616.SZ,广东省,13724717688.0,3.9023642280540134
600674.SH,四川省,39046986057.6,1.4393122329596535
002223.SZ,江苏省,35076667745.71,5.778145842057997
600085.SH,北京,35054779896.72,3.7958313337815683
002311.SZ,广东省,70278497758.18,7.719696943218294
600705.SH,黑龙江省,35815539806.340004,1.1985340593345721
300348.SZ,广东省,12498158377.860003,8.403085737095287
600009.SH,上海,132960132912.00002,4.154429829271251
002881.SZ,广东省,3971324099.9999995,7.232694563395137
300033.SZ,浙江省,64791552000.0,16.238273491294212
002410.SZ,北京,59010908587.200005,18.05041715758812
300014.SZ,广东省,65591374557.60001,8.684037340436634
300326.SZ,上海,18580491758.1,6.760709233318342
600132.SH,重庆,27329853551.059998,19.26378219844484
300571.SZ,浙江省,5948294914.1,7.177829347136839
002624.SZ,浙江省,58933937491.8,6.193978501575448
300124.SZ,广东省,60055156798.079994,6.968693647834557
300137.SZ,河北省,3780083293.0,1.8325946916827887
600706.SH,陕西省,1559580056.4,1.4757673105467364
002851.SZ,广东省,9952503367.2,5.169544709473674
300596.SZ,天津,6367623645.2,3.3342281891681997
300470.SZ,四川省,5076075180.0,3.8048660741121236
002195.SZ,上海,17657508893.579998,1.7380781885269223
002457.SZ,宁夏回族自治区,2425342080.0000005,1.231505568988193
002321.SZ,河南省,2623369301.0,0.9993028695896841
600388.SH,福建省,9739045500.0,1.705784093141362
002595.SZ,山东省,14504000000.0,2.929404234413916
300395.SZ,湖北省,8227392509.5199995,4.339745617406661
300115.SZ,广东省,18497459126.46,4.3402455794804595
300130.SZ,广东省,7003053374.1,2.855988937745031
002463.SZ,江苏省,47274502919.83001,9.208014030037093
300433.SZ,湖南省,80706813942.37,3.6095243481632617
300393.SZ,江苏省,6331274219.039999,2.2641742448564237
002027.SZ,广东省,73389401400.0,5.3264061612376885
002146.SZ,河北省,35089682277.57,0.8581981628388217
002422.SZ,四川省,29227657018.0,2.2162226501198745
000895.SZ,河南省,142164856197.69998,8.622479579224409
300142.SZ,云南省,65479441148.560005,13.45883729395667
600339.SH,新疆维吾尔自治区,13455385405.11,0.5664887103337367
002025.SZ,贵州省,11879010000.0,3.918160567099443
600089.SH,新疆维吾尔自治区,28265920324.289997,0.8102917405578636
300467.SZ,四川省,3374860495.35,3.1368125612035374
002075.SZ,江苏省,29703148051.120003,5.9788715838442705
002236.SZ,浙江省,52136873616.799995,3.3329188898130795
600157.SH,山西省,15780760064.02,
600121.SH,河南省,2278430511.06,0.8288285366173158
300291.SZ,北京,3972861315.36,1.2906779033731743
002531.SZ,江苏省,10852016186.699999,1.8678537158753221
600820.SH,上海,17921347735.8,0.8162957162933496
600109.SH,四川省,30848464961.999996,1.4886379684803455
300190.SZ,江苏省,5447305451.150001,1.3977223886176464
002600.SZ,广东省,63696632515.19999,5.4819845207149305
002429.SZ,广东省,20688118573.99,2.1214340370007028
300017.SZ,上海,20762153102.12,2.4054715554295
600010.SH,内蒙古自治区,51055236565.76,0.9686479056802916
601011.SH,黑龙江省,5169366656.37,0.8387112767452564
600377.SH,江苏省,40256136125.0,1.8617811554593902
002821.SZ,天津,43490591169.520004,14.280259821879914
600093.SH,四川省,14367328000.0,1.8035214520101235
600351.SH,山西省,3857700115.229999,1.4346398681488457
300409.SZ,广东省,5450930831.55,2.2062923564669212
600487.SH,江苏省,33782494399.300003,2.4709971503419985
002803.SZ,福建省,6898178732.009998,4.903169305180717
002695.SZ,江西省,11628020669.4,5.405393368009922
300388.SZ,安徽省,7066876762.400001,2.048439296877129
300078.SZ,浙江省,11215407911.4,3.8781786347285268
002557.SZ,安徽省,25831650000.0,7.068852538260507
002677.SZ,浙江省,7203475864.05,4.741474407358666
