index,年振幅,年涨跌,最新价,区间换,相对大,非系统,波动率,连跌天,近期创,duvol
300003.SZ,37.394195888754545,20.012091898428075,-3.38281820394256,336.33046051153025,61.69534608690844,0.04973478604480665,39.63326642843057,2.0,0.0,-29.89282985527434
600426.SH,35.329642677403115,-13.890286864620027,-20.492565055762075,212.51633149030238,25.379972423557728,0.03572946728571824,32.0794464412029,1.0,0.0,-17.801306183503627
002123.SZ,49.398849973863044,-14.53214845791948,-32.60511129431162,1140.4554337114748,56.83520377751477,0.07975612495239387,60.78550808309796,0.0,0.0,-46.86879919482154
600276.SH,25.70840950639854,8.35237659963437,-4.86556982343501,111.30753445991121,50.97761797889203,0.03514704567699352,30.641540611452406,2.0,0.0,-31.182505390767414
601012.SH,54.973821989528794,23.4393878372936,-13.418079096045194,292.77707108383805,32.10865183577168,0.052865898199300015,43.09904537992856,2.0,0.0,-53.002173080999974
002032.SZ,20.304766866371455,-12.73769210731962,-17.892156862745097,67.55338957156256,4.110986706969088,0.030858397468771726,23.423415401605403,1.0,0.0,-22.644099150995334
600845.SH,72.40121580547113,69.30091185410336,-1.4508138711960268,237.26601109229486,133.75285758224237,0.06872508176965186,49.357484991866514,2.0,0.0,-18.891027961378644
000333.SZ,25.236051502145934,-2.2317596566523656,-6.6393442622950865,97.29064818667335,15.714522422272546,0.024918218822057053,24.74076779861373,0.0,0.0,-33.48229307513432
002683.SZ,121.85676392572944,85.25198938992042,-14.411764705882346,568.9501492593009,180.74924120289336,0.0768554986806727,66.32405085710052,1.0,0.0,-42.98931611498718
002236.SZ,35.8148893360161,-14.587525150905423,-25.460930640913077,656.6530781161827,21.897861206954264,0.04614277249937414,42.99304928576542,2.0,1.0,-48.25124468016059
600050.SH,21.052631578947377,-12.903225806451612,-26.293103448275858,146.46464695731908,-13.132124785675105,0.021378252271037717,23.667764074103246,2.0,0.0,-120.53466313624592
300782.SZ,85.1207446938129,67.95818407778347,-4.004178272980502,1899.656968,1260.5028941925486,0.14546358825118447,103.77685418135016,0.0,0.0,-84.0954187851787
600048.SH,24.41285537700865,-5.6860321384425205,-12.046109510086465,151.98385818613605,24.25159801299609,0.03772251193933901,30.11186308853162,1.0,0.0,-39.247604868041456
601628.SH,33.09435044450818,-22.913679380556353,-25.95041322314049,16.55914113985477,5.621648384072742,0.030827985186665952,30.906973013718275,2.0,0.0,-45.66012141406278
600438.SH,67.70753998476769,7.159177456207133,-30.000000000000004,365.76009932723645,-6.840774631081947,0.06177249526735826,51.641692922181115,2.0,0.0,-47.985266861492605
300463.SZ,69.2992213570634,64.51612903225808,0.0,353.69227041350666,119.803745554984,0.06605746455709886,50.571403912583015,0.0,0.0,-65.41162537208206
600383.SH,27.65517241379311,-13.103448275862062,-20.454545454545453,145.77421381269312,13.884343891087335,0.040741540499510565,34.23038875552615,1.0,0.0,-65.71313061587678
002572.SZ,30.07159904534606,-0.10529223497236506,-6.986927658785377,371.7323710094984,-1.4054695085660929,0.03778723887294791,37.56343111507391,2.0,0.0,-21.447606115831878
300166.SZ,60.0,20.153846153846146,-25.227381522259456,707.3950565849402,27.412433212257806,0.04202682190224603,37.72684631956223,2.0,0.0,-56.1032037822602
600030.SH,21.93675889328062,-7.3517786561264735,-10.976072920622842,330.13261480016166,20.261334432211864,0.021586720572031978,31.299194444975026,2.0,1.0,-66.13737811427637
300498.SZ,31.845238095238088,-16.428571428571438,-35.243650025752885,187.19515837502755,-18.59885386387008,0.05269972664639735,41.214239579308625,1.0,0.0,-25.66762403395608
603063.SH,28.47965738758031,-18.522483940042832,-33.940972222222214,319.67286408147265,-21.346908553240848,0.036503562508068826,35.75117350062402,1.0,0.0,-53.68023269529832
0291.HK,30.1624,-5.6845,-11.8221,54.3058,18.5013,0.0428,34.4812,1.0,0.0,-12.586361318748596
002241.SZ,63.80522088353414,6.224899598393563,-23.13839447875046,695.406647934412,153.7013374012176,0.06695566437795161,55.26896287396349,2.0,1.0,-69.31617902506764
002007.SZ,58.28362126708908,37.44857283476941,-7.386934673366826,337.2813483174823,73.74976802830214,0.04765398879580366,34.30076404987184,1.0,0.0,-23.311099651129695
600031.SH,38.94428152492669,13.255131964809364,-8.178792201616751,231.42467724568866,65.17013969548923,0.03382013956871178,30.51561560108988,1.0,0.0,-36.38162355503075
000708.SZ,55.03706934147405,19.625418369192115,-8.56630522648083,252.34480544946808,115.8578427216182,0.050295396329902944,38.765474696015126,1.0,0.0,-62.05298221939417
000063.SZ,60.94942074032213,16.33229725911276,-27.389770723104057,727.1713952428178,37.98788973913981,0.04651479701144506,40.40781514043766,2.0,0.0,-58.75060881721834
2328.HK,41.2141,-25.9851,-32.2612,100.6197,-8.275,0.0326,30.4662,2.0,0.0,-28.4760138330974
000661.SZ,48.07606263982102,43.512304250559275,-1.216507545426544,302.1506873739687,115.58265847913313,0.041457372508769706,33.24947908611031,1.0,0.0,-43.153009775554196
300014.SZ,75.2591706539075,32.057416267942585,-22.3082336382829,759.5621479692876,155.98245195782664,0.06477335175808835,56.474478732883526,1.0,0.0,-20.96000395351536
000568.SZ,34.263959390862944,1.0152284263959421,-11.088545897644194,202.50424857201818,26.719002656755787,0.042504785740069856,38.99142059314556,1.0,0.0,-47.557005981463725
002624.SZ,41.20978704123244,1.925690983235162,-22.283641388840902,295.6115136213298,74.86059465159893,0.06918657809727145,49.977515648414325,1.0,0.0,-49.785300562969724
018007.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.24775801963641
