,manager,贵州省,安徽省,广东省,四川省,浙江省,江苏省,湖南省,内蒙古自治区,山东省,北京,吉林省,江西省,福建省,广西壮族自治区,上海,湖北省,河南省,新疆维吾尔自治区,陕西省,云南省,重庆,甘肃省,天津,辽宁省,河北省,香港特别行政区,黑龙江省,山西省,海南省,西藏自治区,宁夏回族自治区
112,张勋,0,0,[3.471],"[5.4274, 4.6589]",[4.6561],"[5.38, 3.3389]",0,0,0,[3.4874],[6.2126],[6.905],0,0,0,0,0,0,0,0,0,0,0,0,[5.2906],0,0,0,0,0,0
113,蔡宇滨,0,0,"[8.3646, 6.1166, 4.6465]",0,"[11.2011, 7.4234]",[6.6560000000000015],0,[3.6465],0,[4.9317],[3.6371],0,0,0,0,0,[3.6062],0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,邹唯,0,[7.9332],"[9.0795, 7.5494, 6.9947, 6.8171, 3.5852]",0,"[4.6157, 3.7166]",0,0,0,0,0,0,0,0,0,"[4.8416, 4.2706]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,蒲延杰,[9.0222],0,"[6.6382, 6.2360000000000015, 5.6614, 4.6009, 4.421]","[5.8634, 5.3518]",0,0,0,0,0,[3.7781],0,0,[3.6849],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,李龑,0,0,"[9.8643, 9.7731, 9.5083, 8.6086, 4.5189]",0,[9.7912],[3.6467],0,0,0,"[4.5922, 4.0303]",0,0,0,0,[6.6799],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,邱杰,0,0,"[8.5577, 5.9253, 5.752999999999999]",0,"[3.5810000000000004, 3.4713]",0,0,0,0,[5.8036],0,0,[4.1658],0,[4.5703],0,0,0,0,[6.3235],[5.066],0,0,0,0,0,0,0,0,0,0
118,方钰涵,0,0,"[9.8775, 3.8209]",0,0,"[9.6958, 7.4138, 7.3403]",[4.5471],0,0,[4.4141],[4.9462],0,0,0,[4.134],0,0,0,0,0,0,0,[6.832999999999998],0,0,0,0,0,0,0,0
119,郎超,0,0,"[9.8873, 4.8794]",0,[4.4601],"[11.1944, 9.7921]",[5.9431],0,[3.5271],[4.4559],[10.8038],0,0,0,0,0,0,0,0,0,0,0,[4.5471],0,0,0,0,0,0,0,0
120,张林,0,0,"[6.404, 5.2847, 4.8961, 4.5338]",0,0,[4.9088],0,0,"[5.2161, 3.9025]","[4.7124, 4.0463]",0,0,0,0,[4.4885],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,林庆,0,[4.5957],"[6.2385, 3.2318]",0,[4.8243],[4.2273],0,[5.1288],"[9.1071, 5.5647]",[4.5104],0,0,0,0,[3.3252],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,杨锐文,0,0,"[7.4858, 6.7619, 6.6206, 5.5347, 4.7336, 4.4407]",0,0,0,[4.4984],0,[4.4545],[4.3731],0,0,0,0,[5.4217],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,贺宁,0,[3.5962],"[10.5156, 4.1755]",0,"[5.9405, 4.1072]",[6.1252],[6.3434],0,0,"[5.0061, 4.4957]",0,0,0,0,[5.4081],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,缪东航,0,[6.5883],[4.4878],0,"[6.4924, 4.1836]",[4.1584],[5.939],0,"[7.1758, 6.6883, 6.599]",0,0,0,[4.0548],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,杨琨,[4.9292],0,[3.5451],[3.688],[5.2787],"[5.9158, 4.7861]",0,0,0,"[5.4907, 4.4643]",0,0,0,0,0,0,[6.9334],0,0,0,0,0,[3.5378],0,0,0,0,0,0,0,0
126,乔春,0,0,0,0,"[4.8435, 4.7966, 4.7446]",0,0,0,"[4.4504, 4.4381]","[4.6425, 4.5139999999999985]",0,0,0,0,[4.376],[4.5456],0,0,0,[4.2341],0,0,0,0,0,0,0,0,0,0,0
127,彭敢,0,0,"[6.6191, 4.7576, 4.4358]",0,[4.5879],"[3.8679, 3.7928]",0,0,"[5.4719, 5.3491, 4.2599]",[9.1142],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,李博,0,[3.8479],"[5.5112, 5.4535, 4.4314]",[4.2504],"[10.5576, 5.7114]",[4.5642],0,0,0,0,0,0,0,0,[4.3137],0,0,0,0,0,[4.7876],0,0,0,0,0,0,0,0,0,0
129,张宇帆,0,0,"[4.4223, 4.3764]",0,0,0,0,0,[5.4881],0,0,0,[4.0335],0,"[8.5778, 6.1392, 5.3101, 3.9287]",0,0,0,0,0,[6.3731],0,0,0,[3.923],0,0,0,0,0,0
130,程洲,[6.3285],0,"[6.1257, 5.1658, 4.3738]",[4.4225],[3.8695],0,0,[4.0058],0,0,0,0,0,0,[3.7255],0,"[5.141, 4.6892]",0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,杨鑫鑫,0,0,"[6.3934, 3.8067]",0,0,0,0,0,"[4.3555, 3.5877]",[5.8844],0,[4.8168],[4.0584],0,"[5.9155, 4.8246]",0,[4.7651],0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,许炎,0,0,[8.0742],0,[3.4347],[3.9524],0,0,0,"[7.3921, 6.5724]",0,0,"[4.9755, 4.3499]",0,"[7.7088, 6.1685, 3.595]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,张金涛,[3.3523],0,"[7.9563, 7.9436]",[4.3489],[8.237],[4.769],0,0,[3.7864],0,0,0,[6.638],0,0,0,0,0,0,0,0,0,0,0,0,"[4.6337, 3.5807]",0,0,0,0,0
134,蒋秋洁,[6.0493],0,"[4.3416, 3.447]",[6.5231],[3.4343],0,[5.2777],0,0,[5.5162],[4.6558],0,[3.0499],0,0,0,[4.4271],0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,肖觅,0,0,[4.3409],0,[10.371],[10.0585],0,0,0,"[4.1895, 4.1286]",0,0,[4.248],0,"[6.4218, 5.5304, 4.8483]",0,0,0,0,0,0,0,0,[5.3062],0,0,0,0,0,0,0
136,袁玮,0,[6.2172],"[6.2799, 5.4825, 4.8069, 4.3003]",0,0,[4.4688],0,0,0,[6.4428],0,0,[3.7952],0,"[4.3357, 4.026]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,何珅华,[6.9582],[4.3328],"[5.7461, 4.8127]",[7.9249],[7.3535],[4.3611],0,0,0,0,0,0,0,0,0,"[4.2671, 4.117]",0,0,0,0,0,0,0,[4.2015],0,0,0,0,0,0,0
138,谢昌旭,[7.7443],0,"[4.5718, 4.4139, 4.3218, 4.2904, 2.7308]",[6.5776],[4.1017],[6.089],[4.8407],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,邓默,0,[5.5106],[3.7894],0,"[7.4017, 4.3176]",0,0,0,[6.6752],"[4.5401, 4.3072, 3.9352, 3.2494]",0,0,0,0,[4.3324],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,刘晓明,[4.4465],0,"[9.2862, 7.8202, 4.305]",0,[3.7664],0,0,0,[3.8968],[5.3435],0,0,0,0,0,0,[8.0483],0,0,0,[3.6376],0,0,0,[4.6388],0,0,0,0,0,0
141,侯玉琦,0,[7.5411],[3.9267],0,"[6.1934, 4.46]","[4.36, 4.2986]",[3.7063],0,[4.6927],0,0,0,[6.515],0,0,0,0,0,0,0,0,0,[4.0177],0,0,0,0,0,0,0,0
142,陈璇淼,[5.6889],0,"[9.6818, 5.1761, 4.2668, 4.0505, 3.9132]",[7.5408],0,[3.9249],0,0,0,0,[10.1078],0,0,0,[5.1605],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,农冰立,[5.0209],[4.0469],"[7.1583, 5.0594, 4.0206, 4.0064]",[4.6803],[9.8737],[4.7733],0,0,0,0,0,0,0,0,[4.2593],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,何肖颉,[4.2527],[3.4874],"[6.3234, 6.1895, 5.7045]",0,[5.2639],0,0,0,0,0,[4.7329],0,[3.6325],0,[10.975],[3.5796],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,沈佳,0,0,"[6.4343, 4.2894, 4.1128, 4.0385]",0,"[4.3494, 4.1408]",[5.4085],0,0,0,"[4.7213, 4.2478]",0,0,[5.4105],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,蔡目荣,0,0,"[5.2596, 4.2195, 3.567]",0,"[4.3874, 3.5499]","[8.3091, 7.8184, 4.3304]",0,0,[4.2462],0,0,0,0,0,0,0,0,[8.3337],0,0,0,0,0,0,0,0,0,0,0,0,0
147,吕佳玮,0,0,"[8.059, 5.2583]",0,"[7.0976, 5.1955, 4.211]",[4.224],0,0,0,[4.1248],0,[4.8792],[8.717],0,0,[4.0519],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,石峰,0,0,"[5.267, 4.3753]",0,[3.8383],0,0,[4.1955],0,[4.2154],0,0,"[4.6825, 4.2517]",[4.2613],[4.1173],[4.9704],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,柯海东,0,0,"[5.4483, 4.1677]",0,[3.7629],0,0,0,0,"[5.1835, 4.6707]",0,[9.6365],0,0,0,[3.8155],0,0,[8.2676],[3.9911],[5.4811],0,0,0,0,0,0,0,0,0,0
150,鄢耀,[5.1025],0,"[5.5514, 5.2478, 5.0249, 4.144]",0,[7.1948],[4.0005],0,0,0,[3.3583],0,0,[6.5475],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[2.9312],0,0
151,沙炜,0,[5.1814],"[6.2969, 5.2251, 4.5319, 3.4388]",0,0,[3.6124],0,0,[3.5558],0,0,0,[4.1399],0,[4.1578],[9.0749],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,张航,0,0,"[8.2101, 5.7965, 5.0854, 4.7918]",0,0,[3.9041],0,0,[3.7919],"[4.2052, 3.4231]",0,0,"[4.1448, 4.1017]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,归凯,0,0,"[6.7261, 4.8561, 4.5714, 4.465, 4.2098, 4.0713]",0,"[5.6849, 3.8039]",[3.9115],0,0,0,[4.0992],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,朱然,0,0,"[4.2681, 4.1059, 3.9563, 3.7763]",0,[4.1026],[4.0873],0,0,[5.2645],0,0,0,"[4.1581, 3.7921]",0,0,0,0,0,0,0,0,[4.7386],0,0,0,0,0,0,0,0,0
155,秦毅,0,0,"[7.6642, 4.8677]",[4.0843],"[7.8021, 3.5886]",0,0,0,0,0,0,0,"[4.7558, 3.7809]",0,[3.7545],0,0,[4.4607],[8.142999999999999],0,0,0,0,0,0,0,0,0,0,0,0
156,童立,0,0,"[4.9264, 4.5237, 4.2859, 4.1724]",0,"[4.0427, 3.9787]",0,0,0,0,[4.0831],0,0,[4.8534],0,0,0,0,0,0,[5.1405],0,0,0,0,[4.0735],0,0,0,0,0,0
157,曹春林,0,0,"[8.2293, 7.3609, 4.0592]",[5.4145],[3.9094],[2.8609],0,0,0,0,0,0,[8.6208],0,[6.9014],[2.9906],0,0,0,0,0,0,0,0,[4.1487],0,0,0,0,0,0
158,姜锋,0,0,[4.0296],[4.0429],"[6.5846, 6.3547]",0,0,0,[5.3988],"[6.4007, 4.338]",0,0,[4.0583],0,0,0,0,[4.24],0,0,0,0,0,0,0,0,0,[3.9999],0,0,0
159,邵卓,0,0,"[4.6972, 4.4936, 4.0553, 3.6875]",0,[8.2353],[3.9219],0,0,[4.2276],[3.8723],0,0,[5.4084],0,0,0,0,0,0,0,0,0,0,[6.5426],0,0,0,0,0,0,0
160,陈薪羽,0,0,"[4.1155, 3.9607]",0,"[4.1093, 4.0252]","[4.4716, 4.0801, 4.045]",0,0,"[4.1626, 4.0655]",0,0,0,0,0,[3.9833],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,王伟,0,0,"[8.3797, 3.758]",[5.3266],[3.951],"[6.6899, 3.2415]",0,0,"[5.7002, 4.5296]",[4.0143],0,0,0,0,0,0,0,0,[4.9499],0,0,0,0,0,0,0,0,0,0,0,0
162,李湘杰,0,0,"[5.6134, 3.3631]",0,[7.1331],"[5.0535, 4.0139999999999985]",0,0,0,0,0,[3.8418],[3.7889],0,0,0,[6.0588],0,0,0,0,0,0,0,0,[4.8861],0,0,0,0,0
163,许杰,0,0,"[4.9984, 3.9847]",[4.1232],[3.9714],[4.4862],0,0,"[6.5611, 3.9551]",0,0,0,[4.0514],0,0,[3.9604],0,0,0,0,0,0,[4.3428],0,0,0,0,0,0,0,0
164,宋炳珅,0,0,[8.463],0,[4.2827],"[5.1788, 3.2313, 3.1856]",[3.0826],0,[3.9602],"[5.6751, 5.5408]",0,0,0,0,[4.2176],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,张继圣,0,0,"[6.431, 4.2052, 3.4866, 3.0433]",0,[7.3371],"[8.0014, 3.9403, 3.2485]",0,0,[6.2498],0,0,0,0,0,0,0,0,0,[4.0397],0,0,0,0,0,0,0,0,0,0,0,0
166,尚烁徽,[5.6687],0,"[5.6326, 3.5388]",0,[3.3054],[3.9006],0,0,0,"[4.1417, 4.1123]",0,0,"[5.2185, 3.5593]",0,[5.2926],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,杨柯,0,0,"[11.1591, 5.6734, 3.8247]",[7.5977],0,0,0,0,[5.5474],0,0,0,[2.9724],0,[4.1397],0,[11.2041],0,0,0,0,0,[2.5617],0,0,0,[3.3256],0,0,0,0
168,周大鹏,[4.3913],0,[3.325],[4.1532],0,"[4.6747, 4.3895, 3.5203]",[6.0745],0,[3.8145],[3.4215],0,0,0,0,[6.3905],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,赵鹏程,0,0,"[5.7341, 5.6314]",[5.5371],"[4.284, 3.804, 3.6687]","[5.231, 3.596]",0,0,[4.36],[3.5918],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,张淼,0,0,"[4.3054, 3.9544, 3.9541, 3.2710000000000004]",0,[3.7268],[6.62],0,0,"[7.1615, 3.1803]","[7.4374, 3.8]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,毕天宇,[5.3843],[3.7715],[3.7905],0,"[5.5195, 3.2967]",0,0,0,"[7.3873, 3.1141]","[5.8931, 5.4887]",0,0,0,0,[4.87],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,王鹏,0,0,"[9.1933, 5.3482]",0,[4.2883],0,0,0,0,[3.772],[3.7763],[3.019],"[5.8295, 4.2266]",0,0,[3.2014],[3.0556],0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,JIANG SHAOKUN,[5.1917],0,"[3.7618, 3.3177]",0,0,[4.7749],0,0,0,"[4.6588, 4.29, 3.9947, 3.5174]",0,0,0,0,[3.5822],[4.658],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,谭志强,0,[6.6367],[6.4829],[3.4808],"[7.2882, 3.3517]","[6.8253, 3.6399]",0,0,[5.6312],0,0,0,[3.7572],0,0,0,0,0,0,[4.2536],0,0,0,0,0,0,0,0,0,0,0
175,王君正,[5.4393],0,"[11.0079, 4.2918, 4.0606, 3.7084, 3.6809, 3.4586]",0,"[8.6094, 4.6285]",[3.6587],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,欧阳力君,0,0,"[3.9415, 3.7042, 3.6284, 3.4739]",0,"[4.9983, 3.6809]",0,0,0,0,"[5.1526, 3.7029]",0,0,[5.0586],0,[5.8233],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,孙晟,0,0,[3.8076],0,0,0,0,"[3.6732, 2.6364]",0,"[8.0367, 5.9332, 4.7764]",0,0,0,0,"[7.5822, 3.3649, 2.7965]",0,0,0,0,0,0,0,0,0,0,0,0,[7.2198],0,0,0
178,吴剑毅,0,"[3.6426, 3.4154]","[3.4675, 2.9745]",[4.9799],[5.9221],0,[4.1514],0,0,[3.9534],0,0,[4.5299],0,0,[6.0744],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,张帆,0,0,"[10.6586, 4.3582, 4.1308, 3.5403]",0,0,"[4.8974, 3.8485, 3.462]",0,0,0,[3.5589],0,0,0,0,[4.6497],0,0,0,0,0,0,[3.6076],0,0,0,0,0,0,0,0,0
180,郭敏,0,0,"[4.5894, 3.9017, 3.2479]",0,[3.602],0,0,0,0,"[4.4246, 3.119]",0,0,[8.4421],0,[6.5161],0,[3.954],0,[3.5424],0,0,0,0,0,0,0,0,0,0,0,0
181,李威,[10.284],0,"[3.5295, 3.3669]",[5.6362],[3.3014],"[9.3039, 5.4422]",0,0,0,[4.8987],[3.5923],0,[3.6041],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,杨景喻,[4.024],[3.4915],"[4.2259, 3.5801, 3.5097]",0,[3.589],[6.0494],0,0,0,0,[3.9451],0,[3.7962],0,[4.0026],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,陈思郁,[5.0679],[3.5588],"[5.6745, 3.5046]",0,[5.0443],[3.5119],[3.8677],0,[3.7579],[3.4895],[7.2659],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,应帅,[10.0417],0,"[6.698, 3.6671, 3.0394]",[3.5767],0,[4.4126],0,0,0,[3.5491],0,0,0,0,"[3.9104, 3.1289]",[3.3797],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,程彧,[3.3437],[2.5842],"[9.1492, 9.1352, 4.1091]",0,0,0,0,0,0,"[6.9838, 3.402]",0,0,0,0,0,0,0,[3.5057],0,0,0,0,0,0,0,"[4.7845, 3.9902]",0,0,0,0,0
186,黄安乐,0,[3.382],"[5.2464, 4.0168]",0,[3.4681],[3.1698],[3.265],0,0,"[4.8865, 4.1496]",0,0,0,0,[3.9484],0,0,0,0,[3.6589],0,0,0,0,0,0,0,0,0,0,0
187,王品,0,0,"[7.9555, 4.6915, 3.7474, 3.4656]",0,[3.6956],[3.2646],[3.3419],0,0,"[10.1508, 5.7522]",0,0,[3.2626],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,李宜璇,0,0,"[3.9441, 3.4964, 3.4493]",[6.0147],"[2.8808, 2.8418]",[6.172999999999999],0,0,0,0,0,0,0,0,[3.3822],0,0,[6.7243],[7.4865],0,0,0,0,0,0,0,0,0,0,0,0
189,是星涛,[6.7892],0,"[6.2832, 5.3065]",0,"[4.7665, 2.9522]","[3.3002, 3.0088]",[3.4488],0,[3.7153],0,0,0,0,0,0,0,0,0,0,0,[7.4357],0,0,0,0,0,0,0,0,0,0
190,董伟炜,[5.9693],[3.282],"[6.109, 5.5152, 4.2554, 3.4586]",0,0,0,0,0,0,"[3.4439, 3.4401, 3.2979]",0,0,[3.4518],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,詹成,0,"[5.8331, 3.7601]","[5.7773, 3.3132, 3.2514]",[3.4408],[3.2866],0,0,0,0,"[4.6018, 4.2531]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[5.5674],0,0,0,0,0
192,谢泽林,[3.4717],0,"[4.82, 3.9175, 3.5263, 3.2702, 3.1882]",0,0,[3.8344],0,0,0,"[4.5245, 3.4225, 3.1984]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,翟云飞,0,0,"[5.3761, 3.998]",[3.3478],0,[4.0665],0,0,0,"[3.9617, 3.4216, 3.3895]",0,0,0,0,[3.8742],0,0,0,[3.4934],0,0,0,0,[3.2747],0,0,0,0,0,0,0
194,李德辉,[3.4045],0,"[6.9229, 5.4037]",0,[6.227],"[6.0663, 4.4997]",[2.9618],0,0,"[7.4855, 3.3844]",0,0,0,0,0,0,0,0,[2.9551],0,0,0,0,0,0,0,0,0,0,0,0
195,周应波,0,0,"[7.3952, 7.2167, 5.2404, 5.0571, 3.1694, 2.8267]",[3.0195],0,[8.1428],[3.9837],0,0,0,0,0,0,0,[3.3724],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,张剑峰,0,0,[5.3845],[3.099],0,"[4.4867, 2.8909]",0,0,"[7.9546, 2.8351]",[3.8811],0,0,0,0,0,[6.0886],0,0,[4.3954],0,0,0,0,[3.3209],0,0,0,0,0,0,0
197,范妍,0,[4.3135],"[7.3172, 3.4955, 3.2873, 2.8072]",0,0,[3.285],0,0,0,[3.3549],0,0,[2.765],0,[3.5642],0,[3.8064],0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,张媛,0,0,"[4.748, 3.9045]",0,[4.4959],0,0,[4.2974],"[3.3226, 3.1207]",[3.0974],0,0,0,0,[3.2788],0,"[3.2776, 3.1087]",0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,王创练,0,0,"[5.1381, 4.3075]",[5.404],[3.272],[3.2667],0,0,"[5.8821, 3.6866]","[8.8952, 2.483]",0,0,[2.8295],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,桑俊,[3.2347],0,"[6.2908, 4.5112, 3.6441, 3.3964, 3.3402, 2.7805]",0,0,0,0,0,[2.5196],[4.0313],0,0,0,0,[3.1126],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,余科苗,[4.4582],0,"[5.0322, 3.2306, 2.2352, 2.1198]",0,[7.0034],0,[3.5408],0,0,"[5.8403, 2.241]",0,0,0,0,[4.7632],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,申坤,0,0,"[3.2909, 3.1476]",0,"[5.23, 4.5102, 3.3725, 3.1448]",[3.0498],"[4.3423, 4.1732]",0,0,[3.2075],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,杨瑨,0,0,[4.8463],0,"[4.9839, 3.7391]",[2.9314],0,0,0,"[6.6257, 3.8222, 3.1802, 3.1419, 3.0288]",0,0,0,0,[4.2076],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,魏刚,[4.9846],0,"[4.9443, 4.8203, 4.5622, 3.6152, 3.1723]",[2.9936],0,[3.5136],0,0,0,[2.1144],0,0,0,0,[1.9026],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,李帅,0,0,"[8.6761, 8.2663, 5.808, 3.25, 3.0254]",0,"[6.1039, 4.0918]",0,0,0,0,[3.0728],0,[3.0358],0,0,[3.1697],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,孟昊,0,0,"[6.402, 6.1383, 3.5448, 3.2651, 3.0398, 2.6994]",[3.1176],0,[4.2745],0,0,0,0,0,0,[6.0932],0,[2.729],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,刘荟,[7.9772],0,"[8.0679, 6.3018, 3.0936]",0,[6.1631],[4.7213],0,[2.9209],0,[2.5161],0,0,[4.6641],0,[2.4023],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,范洁,0,[3.0112],"[3.2513, 3.1013, 3.0385]",[3.0282],0,0,0,0,[3.0345],0,0,0,0,0,[3.1142],[3.0181],0,0,0,[3.0111],0,0,0,0,[3.151],0,0,0,0,0,0
209,王咏辉,[2.3945],0,"[5.2546, 4.7785, 4.5005, 3.0186, 2.8656, 2.615]",0,0,0,0,0,[4.5269],[4.9547],0,0,0,0,0,0,0,0,[3.7369],0,0,0,0,0,0,0,0,0,0,0,0
210,袁芳,0,0,"[4.6204, 3.5122, 3.395, 3.0165, 2.7077]",0,0,0,0,0,0,"[5.1207, 3.0185, 2.4639]",0,0,[3.9256],0,0,[3.1347],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,周志敏,0,0,"[3.2799, 3.2637, 3.1919, 2.8209]",0,0,"[3.5572, 3.0098]",0,0,0,[4.6078],0,0,[2.733],0,[2.7154],0,0,0,0,0,0,[3.0905],0,0,0,0,0,0,0,0,0
212,刘洋,[4.5929],0,"[5.1672, 3.5461, 3.2417, 3.0066]",0,0,[3.067],0,[3.0333],0,"[2.6366, 2.5782]",0,0,[2.9817],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,雷俊,0,0,"[3.5797, 2.9777]",0,0,0,0,[2.9991],0,"[4.3367, 3.0356, 3.0215, 2.9844, 2.9689]",0,0,[3.5529],0,[5.4028],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,贺喆,0,0,"[4.9126, 4.2149, 3.7546]",0,[4.0498],[2.3648],0,[2.9967],0,"[4.1089, 3.694, 2.4669]",0,0,0,0,0,0,0,0,0,0,0,0,[2.2793],0,0,0,0,0,0,0,0
215,林晶,0,0,"[4.1316, 2.8018]",0,0,"[3.0249, 2.482]",[2.9704],0,0,[3.6368],[2.9874],0,[6.6427],0,"[3.752, 2.8632]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,张自力,[4.3132],0,"[5.0096, 4.9001, 4.6041]",[2.5012],[3.6688],[2.8876],0,0,0,0,[3.0358],[2.1096],0,0,0,0,[2.8937],0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,于玥,[10.6552],0,"[8.8535, 8.1762, 2.608]",[5.8935],[2.575],[6.0288],0,[3.2116],[2.3801],[2.8446],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,方伦煜,0,0,"[5.0772, 3.7179, 2.8013, 2.7766]",0,"[3.0778, 2.8483]",0,0,0,0,[3.1114],0,0,[2.806],0,[2.8393],0,[4.1878],0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,韩林,0,[2.8189],"[7.1981, 2.7501, 2.7032]",0,"[4.3436, 2.9477]",[2.783],0,0,"[5.1759, 4.2744]",0,0,0,[2.7544],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,黎海威,"[2.8668, 2.7341]",0,"[3.2697, 2.7421]",[4.1392],0,[3.2966],0,0,0,"[3.1173, 2.7423]",0,0,[3.0138],0,0,0,0,0,0,0,0,0,0,[2.7238],0,0,0,0,0,0,0
221,吴培文,[2.7369],[3.2943],"[3.1794, 3.1195, 2.6654]",0,[2.9210000000000003],0,0,[2.4574],[2.5892],[2.5867],0,0,0,0,[2.7062],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,曾理,[3.1301],0,"[8.2576, 4.9898, 2.5815]",[2.6622],0,[2.8163],0,0,0,"[3.1179, 3.0174]",0,0,[2.5791],0,0,0,0,0,0,0,0,0,0,[2.2431],0,0,0,0,0,0,0
223,杜洋,0,0,[2.4164],[2.4596],"[5.5053, 2.6583]","[10.7289, 2.8247]",0,0,[5.1153],0,0,0,0,0,0,0,0,[3.2923],0,0,"[2.7186, 2.5872]",0,0,0,0,0,0,0,0,0,0
224,冯明远,0,0,[3.9578],[2.6278],[3.2288],"[3.6454, 3.1288, 2.8801]",0,0,0,[2.4625],0,0,0,0,"[2.5787, 2.4847]",0,0,0,0,0,0,[3.2668],0,0,0,0,0,0,0,0,0
225,提云涛,[5.7737],[3.1487],"[6.7872, 4.0284, 2.4005, 2.1813]",[2.6203],0,0,0,0,[2.2978],0,0,0,[3.2232],0,[2.8746],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,杨梦,[5.957999999999998],[2.437],"[8.4172, 3.8668, 3.846, 3.1385, 2.9753]",[2.5531],0,[2.6156],0,0,0,[1.9256],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
