,manager,贵州省,安徽省,广东省,四川省,浙江省,江苏省,湖南省,内蒙古自治区,山东省,北京,吉林省,江西省,福建省,广西壮族自治区,上海,湖北省,河南省,新疆维吾尔自治区,陕西省,云南省,重庆,甘肃省,天津,辽宁省,河北省,香港特别行政区,黑龙江省,山西省,海南省,西藏自治区,宁夏回族自治区
25,刘伟林,[6.4936],0,"[5.7192, 5.5799]","[7.5102, 6.6645]",[7.8082],"[9.1167, 6.7207]",[7.5143],0,0,0,[9.5025],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,何晓春,0,0,"[8.5593, 8.051, 7.211, 6.4019, 4.9362, 4.5287]",0,0,0,0,0,[9.6441],0,0,[9.768],0,0,[6.6319],[8.7618],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,李耀柱,0,[6.627999999999999],"[11.1833, 6.7564, 6.1498]",0,[5.6276],0,0,0,[6.7083],"[11.7664, 10.04]",[10.9717],0,0,0,0,0,[5.4991],0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,吴印,[7.4357],[6.5939999999999985],"[7.5371, 7.0863, 6.7605, 6.1823]",0,[6.9039],"[7.2938, 6.6153]",0,0,[6.4384],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,葛兰,0,0,0,0,"[7.0876, 6.507999999999999, 4.8658, 4.7034]","[8.6776, 6.0151]",[10.8852],0,0,0,[10.1436],0,0,0,0,0,0,0,0,0,0,0,[6.5198],0,0,0,0,0,[6.5193],0,0
30,吴兴武,0,0,[8.2789],[3.6947],"[8.4924, 6.4866]","[7.8008, 7.4851]",[9.2185],0,[5.7704],0,[7.2196],0,[4.2872],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,樊勇,0,0,"[10.1918, 7.5803, 7.272, 4.9743]",0,"[7.4239, 5.6094]",0,0,0,0,0,0,[6.627000000000002],[5.4576],0,[6.4695],[6.5366],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,金梓才,0,0,"[8.7765, 8.1679, 6.4521, 6.3945]",[7.7655],[5.5846],"[8.8731, 5.8686]",[8.4829],0,[8.5315],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,李游,0,0,0,"[8.6999, 6.9426]",[6.4175],0,0,0,0,"[7.1689, 6.5772]",0,"[6.7617, 5.2877]",[9.3104],0,0,0,[5.5791],0,[5.3144],0,0,0,0,0,0,0,0,0,0,0,0
34,郭睿,[6.3842],[5.6621],[9.0564],[8.9918],[6.4481],[5.8384],0,0,[9.2442],[9.8851],0,0,[6.0092],0,0,0,[8.0198],0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,曲盛伟,0,[8.7767],"[9.2414, 7.8610000000000015, 6.4078, 6.2363]","[9.1572, 6.0756]",0,0,0,0,[6.7978],[6.3628],0,0,0,0,0,0,0,0,[6.0743],0,0,0,0,0,0,0,0,0,0,0,0
36,田俊维,0,0,"[10.3862, 9.6322, 9.0593, 3.9616]",0,"[8.9988, 8.9004]","[6.3518, 4.2972]",0,0,"[9.7131, 5.3403]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,韩广哲,0,[6.9972],"[6.4335, 6.3347, 5.9065]",0,[5.9865],"[8.5882, 8.584, 6.9544]",0,0,0,0,[9.2325],0,[5.8921],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,陈平,0,0,"[10.3773, 7.5783, 4.87]",0,"[8.4317, 8.2234]","[7.4164, 4.7987]",0,0,[5.5101],[6.332999999999998],0,0,0,0,[7.507999999999999],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,易小金,0,0,[8.5105],[8.0219],[10.0699],"[10.2878, 6.511, 6.3122]",[10.0989],0,0,0,[4.3391],0,0,0,[4.3328],0,[5.5797],0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,李双全,0,0,"[6.3059, 4.8918]",[10.219],"[5.3271, 5.0358]",[7.4445],0,0,0,"[9.3654, 7.3533]",[7.6951],0,0,0,0,0,0,0,0,0,0,0,[7.5908],0,0,0,0,0,0,0,0
41,冯雨生,[8.2131],0,"[8.4759, 7.1547, 6.9327, 6.2982]","[7.0907, 4.6193]",0,0,[5.2996],0,0,[8.4551],0,0,0,0,[6.247999999999998],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,袁航,[9.8997],0,"[6.8474, 6.2757, 5.4287]",[6.7429],0,0,0,[7.4654],"[6.0695, 5.6144]","[10.9529, 6.535]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,于浩成,0,[5.7208],[6.1802],0,[8.1863],"[6.809, 6.4823]",0,0,[8.468],[6.1692],0,0,0,0,[6.4237],0,0,0,[7.647],[5.4271],0,0,0,0,0,0,0,0,0,0,0
44,李欣,0,0,"[9.8805, 9.3079, 8.13, 6.9108]",0,0,"[6.1187, 6.056, 4.008]",0,0,0,"[7.729, 3.3292]",0,0,[9.1256],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,薄官辉,[10.2915],0,"[6.1045, 4.837]",[7.5946],"[8.0802, 6.3725]",0,0,[10.4101],[7.1956],[4.1192],0,0,[5.9717],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,赵蓓,0,0,"[7.5271, 7.1402]",[5.8815],[6.0799],[11.1971],0,0,0,"[11.0613, 4.9401, 4.4536]",[10.7522],0,0,0,0,0,0,0,0,0,0,0,[6.1188],0,0,0,0,0,0,0,0
47,韩威俊,[9.0411],0,"[8.9749, 7.5245, 6.0577]",[8.7994],0,[9.1435],0,[6.0202],"[6.0261, 5.1026]",0,0,0,0,0,0,0,0,0,0,0,[8.9101],0,0,0,0,0,0,0,0,0,0
48,兰乔,[6.0452],0,0,0,0,[6.9443],0,[9.4249],[9.8268],"[7.3625, 4.6443]",0,0,0,0,0,[7.4474],[5.2726],0,[4.9289999999999985],0,0,0,0,0,0,0,[8.3477],0,0,0,0
49,魏伟,0,0,"[7.6659, 7.1727]",0,[9.2047],"[9.0587, 5.1085, 4.3704]",0,0,"[8.997, 6.0026]","[9.1658, 3.9507]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,聂毅翔,[11.9404],0,"[10.3921, 6.7874]",[4.8182],0,0,0,0,0,"[7.1599, 5.3934]",0,0,[5.1855],0,0,0,0,0,0,0,0,0,0,0,0,"[8.8495, 8.7694]",0,0,0,0,0
51,钱亚风云,[9.1446],[4.9546],"[8.4624, 7.5468, 6.7107, 5.1867]",0,0,0,[4.9334],[5.956],0,[8.9807],[7.034],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,张丹华,0,0,"[10.2878, 4.9889]",0,"[5.9283, 5.5138]","[8.7508, 7.8649]",0,0,0,"[10.4461, 5.9367]",[4.0177],0,[7.6075],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,贾成东,0,0,"[9.7216, 7.5882, 5.5632, 4.8732]",0,"[6.2666, 5.9263]",0,[7.3607],0,0,0,[8.562999999999999],0,0,0,[6.4138],[5.4114],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,张仲维,0,0,"[6.3028, 5.5399]",0,[7.1167],"[6.468, 6.3602, 6.2014]",0,0,0,"[5.9001, 5.4968]",0,0,0,0,[5.9239],[6.5796],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,潘明,0,0,"[6.4236, 3.5625]",0,0,[6.3847],0,0,0,"[6.5056, 6.3947, 6.3873]",0,0,[5.91],0,"[6.4205, 3.6104, 3.5774]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,刘格菘,0,0,"[10.7316, 7.6482, 5.8658, 5.252999999999999]",0,0,[5.2207],0,0,0,"[8.4456, 7.7328, 6.7419, 5.5156]",0,0,0,0,0,[8.1667],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,李佳存,0,[7.7073],"[9.6528, 8.9674]",0,[10.0439],0,[5.9017],0,0,0,[5.8569],0,[4.8586],0,[4.7105],0,[6.6941],0,0,0,0,0,[4.3012],0,0,0,0,0,0,0,0
58,蒋一茜,[11.0555],0,"[9.6988, 9.5359, 7.1967, 6.0282, 5.0388, 4.9288]",0,0,0,0,0,0,[5.8531],0,0,[4.78],0,0,0,0,0,0,0,0,0,0,0,0,[6.6641],0,0,0,0,0
59,饶玉涵,[4.5913],0,0,0,"[7.4535, 6.8268]","[9.4234, 6.7613, 5.6834]",0,0,[3.8635],"[5.8252, 3.8642]",0,0,0,0,[6.0667],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,肖勇,[10.0226],[4.0735],"[10.4198, 8.7414, 5.684]","[9.9699, 8.8676]",0,[5.6691],0,0,[3.4598],0,0,0,0,0,0,0,[5.3084],0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,赵伟,0,0,0,0,"[8.6594, 6.4232, 4.8826]","[8.9225, 5.6113, 5.0794, 4.695]",[8.2776],0,0,[5.8870000000000005],0,0,0,0,0,0,[8.3982],0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,潘龙玲,0,0,"[6.6653, 5.2489]",0,"[5.9157, 4.2648]","[9.3663, 6.6885, 6.5710000000000015]",0,0,[4.1819],0,0,0,0,0,0,0,0,0,0,[7.3841],0,0,[5.5916],0,0,0,0,0,0,0,0
63,孙迪,0,0,"[8.285, 7.3219]",0,[5.2697],[5.4578],0,0,"[8.874, 7.235, 6.0505]",0,0,0,"[7.2429999999999986, 4.6466]",0,0,[4.1715],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,郭晨,0,[3.4584],"[6.1359, 5.7506, 3.2787]",0,0,[6.0735],0,0,"[5.7695, 3.8012]",[6.795],[6.4539],0,0,0,[5.4309],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,金笑非,0,0,"[10.6812, 5.3888]",0,"[4.9544, 4.1688, 3.7211]","[11.2936, 10.4391, 5.5903]",[10.0536],0,0,0,[11.0071],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,李孟海,0,0,"[5.9777, 5.834]",0,"[5.8482, 4.3368]",[5.6416],0,0,"[9.1486, 5.1951]","[9.137, 5.3409]",0,0,0,0,0,[4.4059],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,谭冬寒,0,0,"[10.1365, 6.1532]",[5.2879999999999985],[3.9101],[9.7542],[4.8172],0,0,"[8.0459, 5.3682]",[10.645],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[4.676],0,0
68,吴越,[11.1103],0,"[10.7682, 6.9737, 4.524]","[11.4166, 11.2309]",0,[4.3645],0,[5.2865],0,[4.0707],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,王栩,[5.4337],0,"[6.849, 5.549, 5.2761, 4.0745, 3.7685]",0,[4.4643],"[6.4595, 5.3844]",0,0,0,[6.4845],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,姚锦,0,0,"[7.4304, 6.8777, 6.6344]",[4.315],"[6.107, 4.2629]",[5.2441],0,0,0,0,[6.314],0,"[7.0102, 5.0023]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,高松,0,[5.71],"[7.8203, 5.8381, 4.2447, 3.9603]",[5.353],0,[5.2095],0,0,0,0,[7.2151],[4.5596],0,0,0,0,[7.3111],0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,郑泽鸿,0,0,[5.8432],[6.0055],"[8.5181, 5.1751, 4.4491]","[5.6336, 5.0044]",0,0,0,0,0,[7.244],[7.5355],0,0,0,[5.2028],0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,陈小鹭,0,[5.1544],[9.6591],0,[5.3043],[9.4233],0,0,[4.2972],"[8.5818, 5.3647]",0,0,0,0,"[5.3584, 5.1611, 5.1122]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,丘栋荣,0,"[5.6947, 5.2807]",[2.8939],0,[3.2948],0,0,0,[5.1513],[6.8482],0,0,"[6.8149, 4.9531]",[9.26],0,0,0,0,0,0,0,0,0,0,0,0,[6.6052],0,0,0,0
75,赵强,0,[5.2911],"[6.0313, 5.3187, 3.9223, 3.7534]",0,"[7.7528, 3.9797]",[5.1512],0,0,[5.5299],0,0,0,0,0,0,0,0,0,0,0,[5.6678],0,0,0,0,0,0,0,0,0,0
76,潘中宁,[10.0121],[3.5854],"[10.5454, 7.6139]",[9.5685],0,0,0,0,0,"[7.1824, 6.6359, 5.1402, 3.9521]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,姚志鹏,0,"[8.0903, 3.9881]","[5.1371, 4.9707]",[6.7276],0,"[5.7311, 4.5109]",0,0,0,0,0,0,[9.6356],0,[5.7837],0,0,0,[7.7569],0,0,0,0,0,0,0,0,0,0,0,0
