index,x1,x2,x3,x4,shock
002475.SZ,48.57534246575343,48.57534246575343,48.57534246575343,48.57534246575343,-36.75105511734147
600519.SH,31.94420963651734,31.94420963651734,31.94420963651734,31.94420963651734,-15.60738795957693
600114.SH,91.14219114219114,91.14219114219114,91.14219114219114,91.14219114219114,-78.59657057427908
601628.SH,33.09435044450818,33.09435044450818,33.09435044450818,33.09435044450818,-45.66012141406278
300146.SZ,30.54018946824376,30.54018946824376,30.54018946824376,30.54018946824376,-60.28779444705852
300015.SZ,36.52679474216378,36.52679474216378,36.52679474216378,36.52679474216378,-22.6901970319734
002332.SZ,71.52988855116517,71.52988855116517,71.52988855116517,71.52988855116517,-57.7193936100931
002241.SZ,63.80522088353415,63.80522088353415,63.80522088353415,63.80522088353415,-69.31617902506764
002044.SZ,31.69912693082605,31.69912693082605,31.69912693082605,31.69912693082605,-35.92037822508656
002007.SZ,58.28362126708908,58.28362126708908,58.28362126708908,58.28362126708908,-23.311099651129695
601318.SH,26.56213433185116,26.56213433185116,26.56213433185116,26.56213433185116,-17.63799446808568
300144.SZ,30.637334196053057,30.637334196053057,30.637334196053057,30.637334196053057,1.4095811551420394
603816.SH,33.785261316422485,33.785261316422485,33.785261316422485,33.785261316422485,-5.661010977086321
600176.SH,37.247706422018354,37.247706422018354,37.247706422018354,37.247706422018354,-38.89436071014959
002396.SZ,52.61529808773904,52.61529808773904,52.61529808773904,52.61529808773904,-14.171599587617953
002384.SZ,72.18142548596114,72.18142548596114,72.18142548596114,72.18142548596114,-16.002672233581368
002405.SZ,52.60869565217391,52.60869565217391,52.60869565217391,52.60869565217391,-23.54058589471447
000651.SZ,33.79078987496189,33.79078987496189,33.79078987496189,33.79078987496189,-75.61615978682951
600276.SH,25.70840950639854,25.70840950639854,25.70840950639854,25.70840950639854,-31.182505390767414
002572.SZ,30.07159904534606,30.07159904534606,30.07159904534606,30.07159904534606,-21.447606115831878
300003.SZ,37.39419588875455,37.39419588875455,37.39419588875455,37.39419588875455,-29.89282985527434
002705.SZ,96.90721649484536,96.90721649484536,96.90721649484536,96.90721649484536,-44.594711102191106
600383.SH,27.65517241379311,27.65517241379311,27.65517241379311,27.65517241379311,-65.71313061587678
601818.SH,24.263038548752824,24.263038548752824,24.263038548752824,24.263038548752824,-56.623658127864196
002032.SZ,20.304766866371452,20.304766866371452,20.304766866371452,20.304766866371452,-22.644099150995334
0291.HK,30.1624,30.1624,30.1624,30.1624,-12.586361318748596
600036.SH,30.468334220329947,30.468334220329947,30.468334220329947,30.468334220329947,-8.472071303639487
002236.SZ,35.8148893360161,35.8148893360161,35.8148893360161,35.8148893360161,-48.25124468016059
600031.SH,38.94428152492669,38.94428152492669,38.94428152492669,38.94428152492669,-36.38162355503075
0939.HK,15.3046,15.3046,15.3046,15.3046,-16.20581703454085
601139.SH,27.58620689655172,27.58620689655172,27.58620689655172,27.58620689655172,-78.4695993670369
2328.HK,41.2141,41.2141,41.2141,41.2141,-28.4760138330974
002768.SZ,170.03005581794758,170.03005581794758,170.03005581794758,170.03005581794758,-72.56179077234887
601398.SH,19.04761904761904,19.04761904761904,19.04761904761904,19.04761904761904,1.258512970263599
000708.SZ,55.037069341474044,55.037069341474044,55.037069341474044,55.037069341474044,-62.05298221939417
600529.SH,72.39507959479015,72.39507959479015,72.39507959479015,72.39507959479015,-20.933511150516573
2020.HK,53.6201,53.6201,53.6201,53.6201,-3.524133645477122
600887.SH,21.848739495798306,21.848739495798306,21.848739495798306,21.848739495798306,-30.96853846595822
002675.SZ,32.65052762259468,32.65052762259468,32.65052762259468,32.65052762259468,-74.04393032502139
300498.SZ,31.845238095238088,31.845238095238088,31.845238095238088,31.845238095238088,-25.66762403395608
601877.SH,30.373134328358216,30.373134328358216,30.373134328358216,30.373134328358216,-37.740275885561275
300014.SZ,75.2591706539075,75.2591706539075,75.2591706539075,75.2591706539075,-20.96000395351536
300122.SZ,73.35884011276683,73.35884011276683,73.35884011276683,73.35884011276683,-6.458904528761043
300601.SZ,72.3203098302768,72.3203098302768,72.3203098302768,72.3203098302768,-7.9915424030333115
601166.SH,27.72727272727274,27.72727272727274,27.72727272727274,27.72727272727274,-20.44321199397052
603456.SH,81.49210903873745,81.49210903873745,81.49210903873745,81.49210903873745,-44.84954579077632
0268.HK,79.1238,79.1238,79.1238,79.1238,-3.130381538622265
600201.SH,44.71153846153847,44.71153846153847,44.71153846153847,44.71153846153847,-44.16320714406035
1797.HK,116.5054,116.5054,116.5054,116.5054,-41.969310146263524
000063.SZ,60.94942074032213,60.94942074032213,60.94942074032213,60.94942074032213,-58.75060881721834
000876.SZ,99.59899749373432,99.59899749373432,99.59899749373432,99.59899749373432,-56.48400058070079
601088.SH,25.808219178082194,25.808219178082194,25.808219178082194,25.808219178082194,7.333129927334819
000333.SZ,25.23605150214593,25.23605150214593,25.23605150214593,25.23605150214593,-33.48229307513432
600837.SH,23.091849935316954,23.091849935316954,23.091849935316954,23.091849935316954,-77.99881243598267
600050.SH,21.052631578947373,21.052631578947373,21.052631578947373,21.052631578947373,-120.53466313624592
600867.SH,35.33596837944663,35.33596837944663,35.33596837944663,35.33596837944663,-15.024101112067509
1299.HK,33.9242,33.9242,33.9242,33.9242,-6.503516114690629
000725.SZ,55.06607929515417,55.06607929515417,55.06607929515417,55.06607929515417,-69.9936063888141
600845.SH,72.40121580547113,72.40121580547113,72.40121580547113,72.40121580547113,-18.891027961378644
002123.SZ,49.39884997386304,49.39884997386304,49.39884997386304,49.39884997386304,-46.86879919482154
002179.SZ,24.987199180747577,24.987199180747577,24.987199180747577,24.987199180747577,-27.99032659098663
000568.SZ,34.263959390862944,34.263959390862944,34.263959390862944,34.263959390862944,-47.557005981463725
000002.SZ,29.272840273461785,29.272840273461785,29.272840273461785,29.272840273461785,-32.08909451157484
603517.SH,56.663078579117325,56.663078579117325,56.663078579117325,56.663078579117325,-28.58058220178055
600745.SH,88.32432432432434,88.32432432432434,88.32432432432434,88.32432432432434,-36.425183190350985
1398.HK,21.6667,21.6667,21.6667,21.6667,-20.11110514736707
000895.SZ,61.212538753014144,61.212538753014144,61.212538753014144,61.212538753014144,-76.91861835233856
000031.SZ,32.86908077994429,32.86908077994429,32.86908077994429,32.86908077994429,-40.09059525332111
002050.SZ,49.33641084824005,49.33641084824005,49.33641084824005,49.33641084824005,-64.35217657327134
600438.SH,67.70753998476769,67.70753998476769,67.70753998476769,67.70753998476769,-47.985266861492605
300207.SZ,72.95081967213117,72.95081967213117,72.95081967213117,72.95081967213117,-8.633977068198464
000961.SZ,39.14691943127961,39.14691943127961,39.14691943127961,39.14691943127961,-43.4340478608738
300012.SZ,31.72367538564722,31.72367538564722,31.72367538564722,31.72367538564722,-43.49719982367331
601012.SH,54.9738219895288,54.9738219895288,54.9738219895288,54.9738219895288,-53.002173080999974
002410.SZ,60.50618010594467,60.50618010594467,60.50618010594467,60.50618010594467,-12.022839613098618
