manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
李湘杰,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.15322394139757534,0.0,0.0,0.0,0.0,0.0,0.6371192250132759,0.0,0.0,,0.12863687770844892,0.056513464251941245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
肖勇,0.0,0.0,,,,,0.0,0.9896850660927319,0.06361867775828654,0.0,0.7574095900449438,0.0,0.0,0.0,0.5698996187611486,0.0,0.0,0.0,0.0,,0.21530651456938626,0.0,0.0,0.0,0.546018775823849,0.0,0.0,0.9699275030874075,0.0
杨梦,0.0,0.0,,,,,0.0,0.7998960387320163,0.0,0.0,0.0,0.0,0.022143285085595935,0.0,0.8099122101360569,0.0,0.0,0.0,0.0,,0.2998826748957091,0.0,0.0,0.0,0.7488052373580791,0.0,0.0,0.3341158578420162,0.0
程卉超,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5881112197785969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.08074940842058394,0.0,1.0,0.0,0.0
丘栋荣,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
兰兰,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.44630754214567486,0.07148615067231363,0.0,0.0,0.0,0.0,0.0,0.0,,0.7637966374581359,0.0,0.9589173592031794,0.0,0.0637685220442303,0.0,0.0,0.0,0.0
张帆,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04092528941167812,0.0,0.0,0.0,0.0,0.0,0.0,,0.37755422731319666,0.0,0.0,0.0,0.16809149990845884,0.0,0.0,0.0,0.0
袁玮,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.13080016421173193,0.0,0.7138819908362772,0.0,0.0,0.0722441442944891,0.0,,0.1951038462071324,0.4215159551460081,0.0,0.0,0.48824383644301106,0.0,0.0,0.0,0.0
魏刚,0.0,0.0,,,,,0.0,0.7107346453073516,0.0,0.0,0.0,0.0,0.022143285085595935,0.0,0.0,0.0,0.0,0.17070505332177716,0.0,,0.37810184169058975,0.0,0.0,0.0,0.7044019697252305,0.0,0.0,0.37969800576316154,0.0
李耀柱,0.0,0.0,,,,,0.0,0.0,0.41312054781422275,0.0,0.15322394139757534,0.024223034355908606,0.3825178902242272,0.0,0.6930502605715085,0.0,0.0,0.0,0.0,,0.0,0.0,0.9740776027215151,0.0,0.4713602931380226,0.0,0.0,0.0,0.0
吴越,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.1872427723264134,0.0,0.0,0.0,0.6371192250132759,0.0,0.0,,0.21008777142823812,0.0,0.0,0.0,0.5274859873252015,0.0,0.8769393897435523,0.9699275030874075,0.0
蒋一茜,0.0,0.0,,,,,0.0,0.9997645835749789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07129624933998764,0.0,0.0,1.0,0.0,0.0,0.0,0.0
邹新进,0.0,0.0,,,,,0.0,0.0,0.183217673039935,0.0,0.0,0.0,0.4088435147290334,0.0,0.0,0.0,0.0,0.0,0.0,,0.31229040624819987,0.0,0.0,0.0,0.14300879053060356,0.0,0.0,0.0,0.0
李博,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.08080177331518885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03328124555655777,0.0,0.0,0.0,0.1991456587568796,0.0,0.0,0.03168023601518547,0.0
曹春林,0.0,0.7248240816293555,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1460278269771905,0.9933342481527111,0.0,0.0,0.045023856573472305,0.0,0.0,0.06191396423180717,0.0
潘中宁,0.0,0.0,,,,,0.0,0.9894595302840894,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5684308771703973,0.0,0.0,,0.0,0.0,0.0,0.0,0.5460785139559451,0.0,0.0,0.7047214471938892,0.0
徐幼华,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.060843436532970564,0.0,0.0,0.0,1.0,0.03767426253012416,0.0,,0.0,0.0,0.0,0.0,0.08084653660658185,0.0,0.0,0.0,0.0
