manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
李博,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22144772727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11703076923076922,0.0,0.0,0.0,0.9175772277227724,0.0,0.0,0.39578571428571424,0.0
曹春林,0.0,0.89718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5134948717948717,3.917488235294118,0.0,0.0,0.20745049504950494,0.0,0.0,0.7735000000000001,0.0
潘中宁,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.1627,0.0,0.0,0.0,0.0,1.33786,0.0,0.7941944444444444,0.0,0.47098666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516094059405941,0.0,0.0,8.804185714285712,0.0
徐幼华,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0814,0.0,0.0,0.0,0.8285733333333333,0.065609375,0.0,0.0,0.0,0.0,0.0,0.0,0.3725059405940594,0.0,0.0,0.0,0.0
史程,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16521076923076922,0.0,0.0,0.0,0.19750666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09784950495049505,0.0,0.0,0.0,0.0
李欣,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05121846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4360974358974359,2.080911764705882,0.0,0.0,3.4122207920792076,0.0,0.0,0.0,0.0
吴云峰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0551294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39835128205128206,1.6553,0.0,0.0,0.0,0.66125,0.0,0.0,0.0
吴振翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.85019999999999,0.0,0.0,0.0,0.0,0.10590615384615384,0.0,0.508361111111111,0.0,0.0,0.0,0.0,0.0,1.1841102564102566,0.0,0.0,0.0,2.394877227722772,0.0,0.0,4.714842857142855,0.0
孙迪,0.0,0.60933,0.0,0.0,0.0,0.0,0.0,0.0,1.5742617647058823,0.0,0.0,0.48897954545454553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37811025641025636,1.9192058823529412,0.0,0.0,1.2433851485148515,0.0,0.0,0.0,0.0
颜媛,0.0,0.0,0.0,0.0,0.0,0.0,1.930209090909091,0.0,0.6713911764705882,0.0,0.0,1.0924272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4858897435897434,0.0,27.539724999999997,0.0,0.15861584158415842,0.0,0.0,0.0,0.0
姚锦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2021795454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948256410256411,3.703900000000001,23.113325000000003,0.0,1.07079702970297,0.0,0.0,6.217964285714284,0.0
马君,0.361875,0.0,0.0,0.0,0.0,0.0,0.0,104.98935000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.23196666666666665,0.0,0.0,0.0,0.0,0.0,0.8521333333333334,0.0,0.0,0.0,0.030131683168316832,0.0,6.8610500000000005,11.575035714285711,0.0
彭敢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6355735294117646,0.0,0.0,0.0,0.0677676923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19835384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜晓海,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6657852941176471,0.0,0.213675,0.2529363636363636,0.04555846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6795188118811879,0.0,0.0,0.0,0.0
童立,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935045454545455,0.47647692307692313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4184941176470582,0.0,0.0,0.5421356435643564,0.0,0.0,0.0,0.0
王翔,0.0,0.0,0.0,0.0,0.0,0.0,1.0717636363636365,108.1095,0.0,0.0,4.4861625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42919743589743586,0.8243588235294117,0.0,0.0,0.6722584158415841,0.0,0.0,9.469578571428567,0.0
李宜璇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19553181818181817,0.0,3.76715,0.0,0.0,0.0,0.31708125,1.883075,0.0,0.0,0.0,0.0,0.0,0.20862178217821783,0.0,0.0,1.6711357142857144,0.0
林博程,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.18354999999998,0.0,0.0,0.0,0.0,0.2790953846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7637529411764703,0.0,0.0,2.3744168316831686,0.0,0.0,8.996078571428567,0.0
左金保,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872666666666667,0.0,0.807325,0.0,0.0,0.5504166666666667,0.0,0.0,0.0,0.0,0.0,0.5108641025641025,0.0,19.080099999999998,0.0,2.145628712871287,0.0,0.0,9.414235714285711,0.0
钟贇,0.0,0.65678,0.0,0.0,0.0,0.0,0.0,109.61114999999997,0.0,0.0,4.3206625,1.4326749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5470897435897435,0.0,0.0,0.0,1.681435643564357,0.0,0.0,7.603285714285713,0.0
提云涛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.25649999999999,0.2703294117647059,0.0,0.0,0.0,0.0,0.0,0.7618444444444444,0.0,0.0,0.26949375,0.0,0.0,0.0,1.4717235294117645,0.0,0.0,2.6030524752475244,0.0,0.0,4.265357142857143,0.0
兰乔,0.0,0.39604,0.0,0.0,0.0,0.0,0.0,0.86565,0.0,0.0,1.0442875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
潘龙玲,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4331076923076926,0.0,0.0,1.4132571428571428,0.4509881188118811,0.0,0.0,0.0,0.0
刘晨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7642500000000005,0.1508830769230769,0.0,0.7538111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08735544554455446,0.0,0.0,0.0,0.0
张丹华,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2007931818181818,0.33344153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5212333333333334,0.2811764705882353,16.663049999999995,0.0,0.14818514851485148,0.0,0.0,0.0,0.0
庞琳琳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11562923076923078,0.0,0.0,1.7404800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.491946534653465,0.0,0.0,0.0,0.0
吴培文,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.89575000000002,0.43757352941176475,0.0,0.0,0.06638636363636365,0.0,0.0,0.7780222222222222,0.0,0.0,0.1691375,0.0,0.0,0.0,0.0,0.0,0.0,1.4983336633663373,0.0,1.060025,0.0,0.0
聂毅翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.38949999999997,0.0,0.0,0.0,0.0,0.4521676923076923,0.0,0.0,0.0,0.6310666666666667,0.0,0.0,0.0,0.0,3.545682352941177,0.0,0.0,0.33538514851485146,0.0,0.0,0.0,0.0
樊勇,0.0,1.23779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1791704545454547,0.0,0.0,0.0,2.19564,0.0,0.409821875,0.0,0.0,0.0,3.6257117647058834,0.0,0.0,0.4262069306930693,0.0,0.0,0.0,0.0
姚爽,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.43825000000001,0.0,0.0,2.6383625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615058823529413,0.0,0.0,0.6935564356435644,0.0,0.0,12.493142857142855,0.0
李游,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6973875,0.49670000000000003,0.6111692307692307,0.0,0.0,3.159,0.0,0.0,0.0,0.0,0.0,1.6779294117647057,0.0,0.0,0.0,0.0,0.0,2.5461714285714283,0.0
王平,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.35345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043071875,0.0,0.0,1.124405128205128,1.1561882352941177,0.0,0.0,2.213631683168317,0.0,0.0,2.454,0.0
李龑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007886363636364,0.10998923076923078,0.0,0.0,0.0,0.0,0.525509375,0.0,0.0,0.6536564102564104,0.0,0.0,0.0,3.4000326732673263,0.0,0.0,0.0,0.0
王凯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07147272727272727,0.2751215384615385,0.0,0.5669611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1436089108910892,0.0,0.0,0.0,0.0
林晶,0.0,0.0,0.0,0.0,0.0,0.0,1.0801454545454545,0.0,0.0,0.0,0.0,0.0,0.20232923076923082,0.0,0.0,0.0,0.0,0.6179312499999999,0.0,0.0,0.5562102564102565,3.8011294117647063,1.4937,0.0,0.8750306930693067,0.0,0.0,0.0,0.0
郭睿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.14839999999995,0.10842941176470589,0.0,4.3833125,1.6864886363636367,0.3459353846153846,0.0,0.2407111111111111,0.0,0.0,0.0,0.0,0.0,0.2647333333333334,0.0,0.0,0.0,1.2212128712871286,0.0,0.0,1.2323,0.0
程彧,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.211349999999975,0.0,0.0,0.0,0.0,0.4372938461538462,0.0,0.14356666666666668,0.0,0.5320266666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.380419801980198,0.0,0.0,0.0,0.0
李双全,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8854681818181818,0.0880676923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647179487179487,0.0,0.0,0.6204000000000001,1.4374980198019804,0.0,0.0,0.0,0.0
