,province,value
13,广东省,"[ 26.560519502065247 , 3.1123502626415216 , 3.421493794217568 ; 29.016101899551717 , 8.27068319757371 , 9.767406815447742 ; 26.3714486191765 , 1.905122393442845 , 0.931905987179226 ; 24.97573172493982 , 7.7196969432182945 , 1.1579407008968818 ; 23.790803108543788 , 3.3778838655044434 , 1.1775388080876872 ; 26.25988377824249 , 12.50543840878972 , 0.945624299575501 ; 27.912490147000717 , 1.9815604523846448 , 7.108932375964723 ; 27.49755773074207 , 1.5278638211528213 , 3.783607620350237 ; 26.324323426513768 , 0.8649433319448661 , 1.5096940892505355 ; 26.700327138155608 , 3.8780686514941607 , 3.2707021791414714 ; 26.398900163877087 , 1.5782019309516746 , 3.4507455463569388 ; 26.50286416615745 , 17.405865315597698 , 4.103198319761557 ; 23.940738402354828 , 4.327012325190172 , 0.32801413071999713 ; 25.01904536704554 , 5.3264061612376885 , 0.10715344851347976 ; 24.0919378956776 , 9.227408787640794 , 0.26797659985322 ; 25.968236266690198 , 1.2152790981470123 , 2.348030181836773 ; 23.58615801494299 , 4.967228001842703 , 0.956799931851685 ; 25.42345894907581 , 17.077366868477547 , 4.62193554989591 ; 24.88409701416439 , 2.1295468425740403 , 0.16607994903687456 ; 25.022383439165143 , 8.335469391568338 , 0.6760151150517952 ; 25.91750086081252 , 6.798479391086817 , 1.0981946271966203 ; 23.64955192440119 , 4.223486033515924 , 0.5112929045640948 ; 24.815330772204266 , 1.106652916003657 , 2.186130409170328 ; 26.03480053984545 , 4.7775196111506215 , 1.2324848377224151 ; 23.640899215082392 , 4.34024557948046 , 0.13564301417968733 ; 25.188920682150673 , 17.39279725082879 , 3.897888866867044 ; 23.04270753479436 , 3.38137624429626 , 0.7611794752112215 ; 23.90445099302273 , 7.3291187030293266 , 0.44287742724492457 ; 25.082333003000198 , 18.094112768120407 , 1.4678337407221145 ; 24.818529256857452 , 6.968693647834558 , 0.57474765350264 ; 28.003202911134444 , 1.911995596164416 , 7.108932375964723 ; 23.334928771728148 , 5.397726922533726 , 1.184171766662624 ; 23.12922847117343 , 3.7952496232541235 , 1.0325255330003544 ; 26.38171536852684 , 3.2112633172323513 , 0.8864445737708031 ; 22.668997157670034 , 7.383410064749349 , 1.8993557402758376 ; 25.31953808735892 , 4.9983800918197785 , 1.3183514693913296 ; 26.008213624946237 , 3.3968374274902713 , 1.0981946271966203 ; 25.717081511169496 , 2.87318187383 , 0.3582488351769248 ; 23.913993634673663 , 5.961757261408675 , 0.5072109040947056 ; 22.77158586887812 , 2.761066779576612 , 0.11198477515081418 ; 26.58775171983088 , 21.2460463394028 , 1.6938040177650908 ; 24.204807572074746 , 14.291412772023625 , 0.8908219624964571 ; 23.909049663741282 , 7.8769661775232125 , 1.3710732407476518 ; 23.771417582615623 , 9.650392837871928 , 3.629508364532168 ; 23.5476251439044 , 2.5693633007063843 , 1.1191474246282564 ; 24.42793161049315 , 10.290389549540269 , 0.9224632096954288 ; 25.282874350654467 , 1.3367168441803052 , 0.3866161428691163 ; 24.335166252384766 , 4.931659712769752 , 0.4744849607785072 ; 23.30447697954568 , 1.9077336541295236 , 0.5683199318478982 ; 22.632758358359474 , 1.909097948734288 , 0.5715125578900713 ]"
14,江西省,"[ 24.808538327459164 , 7.680875293052027 , 0.08747380435324563 ; 24.313937328366666 , 0.8527884718489791 , 0.5441715671687029 ]"
15,江苏省,"[ 26.785150249205362 , 17.323019664007404 , 1.2325846623123593 ; 24.468077823856696 , 4.892487160364398 , 0.44285107311719496 ; 24.574243980639697 , 6.429935410678473 , -0.3435345119817204 ; 24.16245068698571 , 1.4534804577767484 , 1.1432451906932677 ; 24.262429514090318 , 8.038474021932538 , 0.7555247028386655 ; 25.862218148868017 , 9.88067173291983 , 1.0726699649343834 ; 25.24981281785694 , 3.0284910011648267 , 0.9394927655107852 ; 22.93398975341113 , 0.8864686338110411 , 0.38522191886193546 ; 25.76433807466465 , 1.3570070916833534 , 1.0036816643640551 ; 25.73674735776045 , 4.120305129840315 , 4.88671861746079 ; 24.12054748394043 , 6.116922826616777 , 2.8210006463321324 ; 23.10761672332879 , 1.867853715875322 , 0.4454776717519877 ; 24.893799537526053 , 38.018749502923605 , 6.0720325251 ; 24.337358178548858 , 7.6393754104861396 , 0.4939500247215291 ; 24.48047679978582 , 3.3917277533313084 , 0.16780346521253495 ; 23.55046915693441 , 1.2147530438358631 , 0.5042402856733075 ; 25.075534715361144 , 0.8938071841711943 , 1.287466488241361 ; 23.055021307240235 , 5.192869091475207 , 2.597668089666666 ; 22.515025306174465 , 5.124711391079819 , 1.461588422875 ; 24.280802009793447 , 5.778145842057997 , 0.8863968163400996 ; 21.924711450614403 , 4.926672859898414 , 1.1876880712871287 ; 24.57923693678372 , 9.208014030037091 , 0.7290775932195448 ]"
16,新疆维吾尔自治区,"[ 24.43927786307844 , 1.4241899639117968 , 0.680735025261005 ; 24.52999062721216 , 0.945099457039312 , 0.6568301051867158 ]"
17,香港特别行政区,"[ 27.45914780712841 , 1.880228127379165 , 0.5499185194588965 ; 24.243585085110826 , 2.9062863274828445 , 1.3029905122490049 ; 25.311134137135248 , 4.7688648834518865 , 0.5955587654148664 ; 25.59399450032165 , 5.939194980987708 , 0.4044169101807967 ]"
18,四川省,"[ 25.50727144472024 , 6.161866479045309 , 3.30060831400158 ; 27.041660423941604 , 7.4663689932941955 , 4.799902619435164 ; 24.04507306887844 , 3.07697476170757 , -4.464798510162264 ; 24.864175300823465 , 3.5762528456658225 , 0.5803371412488051 ; 23.832536850096243 , 10.608321167371251 , 1.6347726399179143 ; 23.766600351101275 , 6.709063921775258 , 0.8649446040844523 ; 22.766807209099852 , 2.7261918114096866 , 0.04854758510903541 ; 22.91217881482259 , 9.255544946644829 , 0.8138185759116846 ]"
19,山东省,"[ 23.93043381296064 , 6.388424798589172 , 0.8131151047083565 ; 23.90665300549839 , 2.470715709123679 , 1.5382504445416565 ; 23.99981956725845 , 2.40208884704312 , 1.4622304359084202 ; 24.06856093456597 , 1.9934344319157133 , 1.3772793849297615 ; 23.37463187562898 , 2.941372784366107 , 0.5824778928245405 ; 24.84452270915205 , 6.196437079029678 , 0.6751009953772183 ; 23.82737028863069 , 1.5275616699571897 , 0.9005000580853307 ; 23.87433468747716 , 6.396308896672956 , 0.5146672379921886 ; 25.71393196444953 , 3.470730014119768 , 2.774513331436573 ; 24.086859269787197 , 8.902462719191028 , 1.0319383901417962 ; 25.30933246131188 , 2.041316062514435 , 1.0852252794323745 ; 21.971380943727425 , 1.6952106807228702 , 1.1819018165612625 ; 25.44763860703354 , 2.52275905038656 , 1.081165599597673 ; 24.93344127816907 , 4.18250906663993 , 0.4226185592838211 ; 23.32664337834438 , 3.1470280237061363 , 0.20451373936196696 ; 24.956175481308343 , 3.901107561048159 , 1.170816532123194 ; 25.383310240702944 , 4.892244251880997 , 0.4797470088859184 ; 23.099844609848784 , 1.0692199782458125 , 1.069108036375 ; 24.569764235213928 , 10.291269915525401 , 1.2217423189166667 ; 23.46809114149005 , 1.8245509756840352 , 1.322438139712662 ]"
20,重庆,"[ 24.52909187421053 , 1.1649841409120545 , 0.016805489311811934 ; 25.592521881531102 , 22.65814337062693 , 1.48796001875625 ; 22.881708210925694 , 6.076081297928293 , 0.2621834217855635 ]"
21,安徽省,"[ 24.838025084870356 , 7.896241221044479 , 3.8739600453137415 ; 24.517711621286907 , 3.135647569283041 , 0.2989756326264266 ; 25.10755334414732 , 11.40668128719776 , 1.131121914444839 ; 26.472855360235947 , 2.3505431823494436 , 6.118685561660963 ; 23.61083368166893 , 6.833574287433017 , 0.13283251889259454 ; 25.045345626532818 , 6.598829875215767 , 0.2664670642241937 ; 24.037865714260025 , 20.678586806290372 , 0.7274600646927771 ; 22.73555996105997 , 2.0800848698784007 , 0.2687854347355995 ]"
22,北京,"[ 26.65280178743223 , 2.5147452402180552 , 0.950817879758182 ; 25.921516613683693 , 9.097967894935387 , 1.1283527335387715 ; 25.87076332474597 , 5.198188325303446 , 1.2067126047391774 ; 23.59965905878969 , 5.246689131569839 , 0.23830225671450214 ; 24.33857482521173 , 33.316772302959926 , 1.8385904278134504 ; 25.321737035112733 , 19.009238416970454 , 1.6357135405640972 ; 23.44997512202281 , 4.563002578596389 , -0.15901999331362987 ; 28.207678304065947 , 0.6792023839725265 , 0.8830176062857714 ; 26.106837175720454 , 0.7857162453754079 , 0.9673724966573428 ; 23.818679030954794 , 3.7220041789920373 , 0.6121267980112494 ; 25.614254887597216 , 1.4130492632298948 , 0.041195528040337145 ; 27.200643861345572 , 6.323719310332856 , 0.3842235196885993 ; 24.979636495925174 , 9.42878021108406 , 0.8567284678562824 ; 25.81439703003953 , 1.1342825673323604 , 0.15319121172645586 ; 23.971344690218874 , 13.43480481751854 , 0.6310538461865445 ; 24.83442705609801 , 6.264631516145985 , 1.3183873368399897 ; 25.565206859584 , 20.880513168424933 , 1.004582354859002 ; 26.147102335866283 , 0.5224654240425123 , 1.006481646924886 ; 25.93417121821318 , 0.6051239003669441 , 0.7325678961363492 ; 26.4384824823141 , 0.8859021515467159 , 2.0347296265186574 ; 24.380716463332423 , 8.883737891251398 , 0.695642962814149 ; 26.244549946826226 , 0.5229055786797769 , 1.2488346206252248 ; 27.97706216649185 , 0.7430282240210594 , 1.0826404613179714 ; 25.572262241897867 , 0.6312465747112943 , 1.4199442595318852 ; 28.06777493062557 , 0.645674536485619 , 1.0667931571722091 ; 25.071121281491337 , 13.202503915893958 , 0.6374353281705526 ; 25.170300229338693 , 3.0292995399811136 , 0.8412434615046359 ; 23.471008468561674 , 2.8130379009797246 , 0.09826505116008294 ; 24.48391805373008 , 5.147863857856743 , 0.5510125533263293 ; 25.507768453504138 , 1.6666936163218904 , 5.073493692961663 ; 27.256800425326194 , 1.9558847685776841 , 1.7457461523125748 ; 22.718539373602308 , 1.11559284319962 , 0.423148059902741 ; 27.797932280563842 , 0.6406048501252691 , 0.6144126405796871 ; 25.84102044085908 , 1.3093546477214963 , 0.3750172817641311 ; 23.467118056547164 , 1.7376229127216374 , 0.2885426441771838 ; 27.581291849802994 , 0.5500789585866509 , 0.6420884480404851 ]"
