index,年振幅,区间换,非系统,波动率,duvol
300003.SZ,37.394195888754545,336.33046051153025,0.04973478604480665,39.63326642843057,-29.89282985527434
600426.SH,35.329642677403115,212.51633149030238,0.03572946728571824,32.0794464412029,-17.801306183503627
002123.SZ,49.398849973863044,1140.4554337114748,0.07975612495239387,60.78550808309796,-46.86879919482154
600276.SH,25.70840950639854,111.30753445991121,0.03514704567699352,30.641540611452406,-31.182505390767414
601012.SH,54.973821989528794,292.77707108383805,0.052865898199300015,43.09904537992856,-53.002173080999974
002032.SZ,20.304766866371455,67.55338957156256,0.030858397468771726,23.423415401605403,-22.644099150995334
600845.SH,72.40121580547113,237.26601109229486,0.06872508176965186,49.357484991866514,-18.891027961378644
000333.SZ,25.236051502145934,97.29064818667335,0.024918218822057053,24.74076779861373,-33.48229307513432
002683.SZ,121.85676392572944,568.9501492593009,0.0768554986806727,66.32405085710052,-42.98931611498718
002236.SZ,35.8148893360161,656.6530781161827,0.04614277249937414,42.99304928576542,-48.25124468016059
600050.SH,21.052631578947377,146.46464695731908,0.021378252271037717,23.667764074103246,-120.53466313624592
300782.SZ,85.1207446938129,1899.656968,0.14546358825118447,103.77685418135016,-84.0954187851787
600048.SH,24.41285537700865,151.98385818613605,0.03772251193933901,30.11186308853162,-39.247604868041456
601628.SH,33.09435044450818,16.55914113985477,0.030827985186665952,30.906973013718275,-45.66012141406278
600438.SH,67.70753998476769,365.76009932723645,0.06177249526735826,51.641692922181115,-47.985266861492605
300463.SZ,69.2992213570634,353.69227041350666,0.06605746455709886,50.571403912583015,-65.41162537208206
600383.SH,27.65517241379311,145.77421381269312,0.040741540499510565,34.23038875552615,-65.71313061587678
002572.SZ,30.07159904534606,371.7323710094984,0.03778723887294791,37.56343111507391,-21.447606115831878
300166.SZ,60.0,707.3950565849402,0.04202682190224603,37.72684631956223,-56.1032037822602
600030.SH,21.93675889328062,330.13261480016166,0.021586720572031978,31.299194444975026,-66.13737811427637
300498.SZ,31.845238095238088,187.19515837502755,0.05269972664639735,41.214239579308625,-25.66762403395608
603063.SH,28.47965738758031,319.67286408147265,0.036503562508068826,35.75117350062402,-53.68023269529832
0291.HK,30.1624,54.3058,0.0428,34.4812,-12.586361318748596
002241.SZ,63.80522088353414,695.406647934412,0.06695566437795161,55.26896287396349,-69.31617902506764
002007.SZ,58.28362126708908,337.2813483174823,0.04765398879580366,34.30076404987184,-23.311099651129695
600031.SH,38.94428152492669,231.42467724568866,0.03382013956871178,30.51561560108988,-36.38162355503075
000708.SZ,55.03706934147405,252.34480544946808,0.050295396329902944,38.765474696015126,-62.05298221939417
000063.SZ,60.94942074032213,727.1713952428178,0.04651479701144506,40.40781514043766,-58.75060881721834
2328.HK,41.2141,100.6197,0.0326,30.4662,-28.4760138330974
