,0
0,贵州省
1,安徽省
2,广东省
3,四川省
4,浙江省
5,江苏省
6,湖南省
7,内蒙古自治区
8,山东省
9,北京
10,吉林省
11,江西省
12,福建省
13,广西壮族自治区
14,上海
15,湖北省
16,河南省
17,新疆维吾尔自治区
18,陕西省
19,云南省
20,重庆
21,甘肃省
22,天津
23,辽宁省
24,河北省
25,香港特别行政区
26,黑龙江省
27,山西省
28,海南省
29,西藏自治区
30,宁夏回族自治区
