,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
820,002359.SZ,*ST北讯,-0.09,-1.02,0.49,0.24,0.21,0.63,9230258042,深圳市,广东省
821,002360.SZ,同德化工,0.02,0.37,0.31,0.22,0.25,0.42,2278603332,忻州市,山西省
822,002361.SZ,神剑股份,0.02,0.09,0.07,0.05,0.14,0.47,3651823146,芜湖市,安徽省
823,002362.SZ,汉王科技,-0.04,0.07,0.12,0.09,0.2,0.36,3307556890,海淀区,北京市
824,002363.SZ,隆基机械,0.05,0.19,0.18,0.12,0.14,0.9,2550694845,烟台市,山东省
825,002364.SZ,中恒电气,0.02,0.14,0.16,0.07,0.11,0.33,5539843557,杭州市,浙江省
826,002365.SZ,永安药业,0.02,0.61,0.52,0.37,0.71,0.53,3262135275,潜江市,湖北省
827,002366.SZ,台海核电,0.12,0.39,0.39,0.5,1.17,0.4,9416242821,眉山市,四川省
828,002367.SZ,康力电梯,0.04,0.02,0.08,0.05,0.41,0.46,6397174550,苏州市,江苏省
829,002368.SZ,太极股份,0.05,0.78,0.17,0.05,0.7,0.18,13472912776,海淀区,北京市
830,002369.SZ,卓翼科技,0.01,-0.18,0.08,0.06,0.04,0.5,4703570519,深圳市,广东省
831,002370.SZ,亚太药业,0.11,0.39,0.31,0.24,0.38,0.25,8852158524,绍兴市,浙江省
832,002371.SZ,北方华创,0.04,0.51,0.37,0.26,0.27,0.1,31831303854,朝阳区,北京市
833,002372.SZ,伟星新材,0.1,0.75,0.5,0.3,0.83,0.12,25287791282,台州市,浙江省
834,002373.SZ,千方科技,0.1,0.54,0.36,0.22,0.33,0.35,26476805053,海淀区,北京市
835,002374.SZ,丽鹏股份,0.02,-0.9,0.03,0.04,0.1,0.78,3070996138,烟台市,山东省
836,002375.SZ,亚厦股份,0.06,0.28,0.23,0.15,0.27,0.76,7812179583,绍兴市,浙江省
837,002376.SZ,新北洋,0.11,0.58,0.4,0.27,0.45,0.31,8740803838,威海市,山东省
838,002377.SZ,国创高新,0.08,0.34,0.24,0.15,0.08,0.98,4801544053,武汉市,湖北省
839,002378.SZ,章源钨业,0.01,0.05,0.03,0.02,0.03,0.53,5230787688,赣州市,江西省
840,002379.SZ,宏创控股,0.01,0.01,0.01,0,0.04,0.42,3001536000,滨州市,山东省
841,002380.SZ,科远股份,0.05,0.47,0.3,0.23,0.46,0.58,3638273399,南京市,江苏省
842,002381.SZ,双箭股份,0.13,0.37,0.28,0.17,0.26,0.47,3638298814,嘉兴市,浙江省
843,002382.SZ,蓝帆医疗,0.1,0.47,0.39,0.27,0.41,0.5,13949529814,淄博市,山东省
844,002383.SZ,合众思壮,-0.04,0.26,0.35,0.24,0.33,0.41,8286159006,海淀区,北京市
845,002384.SZ,东山精密,0.12,0.5,0.42,0.24,0.54,0.27,25785488256,苏州市,江苏省
846,002385.SZ,大北农,-0.01,0.12,0.11,0.03,0.31,0.24,30931425276,海淀区,北京市
847,002386.SZ,天原集团,0.06,0.22,0.19,0.16,0.15,0.95,5059953470,宜宾市,四川省
848,002387.SZ,维信诺,-0.28,0.03,-0.13,0.02,0.03,1.02,15399885898,汕头市,广东省
849,002388.SZ,新亚制程,0.02,0.06,0.05,0.04,0.14,0.4,2755603302,深圳市,广东省
850,002389.SZ,航天彩虹,0.01,0.26,0.09,0.03,0.43,0.6,11040551534,台州市,浙江省
851,002390.SZ,信邦制药,0.04,-0.8,0.16,0.12,0.19,0.47,9203101933,黔南布依族苗族自治州,贵州省
852,002391.SZ,长青股份,0.2,0.89,0.71,0.48,0.63,0.63,4863848015,扬州市,江苏省
853,002392.SZ,北京利尔,0.07,0.28,0.2,0.15,0.14,0.67,4381006288,昌平区,北京市
854,002393.SZ,力生制药,0.24,1.01,0.58,0.38,0.64,0.69,4495691003,西青区,天津市
855,002394.SZ,联发股份,0.22,1.21,0.78,0.42,1.11,0.81,3494406240,南通市,江苏省
856,002395.SZ,双象股份,0.02,0.12,0.09,0.08,0.07,0.3,2816194500,无锡市,江苏省
857,002396.SZ,星网锐捷,-0.01,1,0.69,0.2,0.85,0.27,13287124733,福州市,福建省
858,002397.SZ,梦洁股份,0.07,0.11,0.12,0.12,0.07,0.43,4421266189,长沙市,湖南省
859,002398.SZ,建研集团,0.13,0.36,0.3,0.17,0.56,0.3,4225007480,厦门市,福建省
860,002399.SZ,海普瑞,0.41,0.49,0.36,0.18,0.11,0.22,27114165045,深圳市,广东省
861,002400.SZ,省广集团,0.04,0.11,0.08,0.07,-0.11,0.81,5909912864,广州市,广东省
862,002401.SZ,中远海科,0.09,0.27,0.23,0.16,0.25,0.27,3220408800,浦东新区,上海市
863,002402.SZ,和而泰,0.07,0.26,0.22,0.15,0.21,0.2,7904223059,深圳市,广东省
864,002403.SZ,爱仕达,0.14,0.42,0.33,0.26,0.49,0.67,3103842297,台州市,浙江省
865,002404.SZ,嘉欣丝绸,0.07,0.25,0.18,0.12,0.21,0.51,3286963017,嘉兴市,浙江省
866,002405.SZ,四维图新,0.03,0.38,0.17,0.13,0.22,0.21,29220992626,海淀区,北京市
867,002406.SZ,远东传动,0.12,0.48,0.33,0.23,0.33,0.67,3489420000,许昌市,河南省
868,002407.SZ,多氟多,0.06,0.1,0.26,0.2,0.41,0.4,8665272494,焦作市,河南省
869,002408.SZ,齐翔腾达,0.11,0.47,0.39,0.28,0.48,0.48,14290434487,淄博市,山东省
870,002409.SZ,雅克科技,0.09,0.31,0.31,0.15,0.1,0.53,7553769169,无锡市,江苏省
871,002410.SZ,广联达,0.05,0.39,0.26,0.13,0.42,0.1,30822461051,海淀区,北京市
872,002411.SZ,延安必康,0.1,0.26,0.39,0.28,0.58,0.34,30507772628,延安市,陕西省
873,002412.SZ,汉森制药,0.14,0.5,0.29,0.21,0.37,0.23,5979200000,益阳市,湖南省
874,002413.SZ,雷科防务,0.01,0.12,0.09,0.06,0.11,0.41,7453943091,常州市,江苏省
875,002414.SZ,高德红外,0.01,0.21,0.16,0.16,0.09,0.18,16442903848,武汉市,湖北省
876,002415.SZ,海康威视,0.17,1.24,0.81,0.45,1.03,0.13,2.78584E+11,杭州市,浙江省
877,002416.SZ,爱施德,0.08,-0.07,0.15,0.12,0.37,0.63,7088691930,深圳市,广东省
878,002417.SZ,深南股份,0,-0.18,-0.13,-0.09,0.03,0.12,2608200000,南通市,江苏省
879,002418.SZ,康盛股份,-0.05,-1.08,-0.01,-0.01,0.17,0.34,5761548000,杭州市,浙江省
880,002419.SZ,天虹股份,0.26,0.75,0.56,0.4,0.9,0.51,15015753000,深圳市,广东省
881,002420.SZ,*ST毅昌,0.02,-2.03,-1.05,-0.08,-1.19,0.62,1323300000,广州市,广东省
882,002421.SZ,达实智能,0.01,0.11,0.08,0.05,0.16,0.37,7570593731,深圳市,广东省
883,002422.SZ,科伦药业,0.23,0.85,0.71,0.54,0.52,0.27,41264268480,成都市,四川省
884,002423.SZ,中原特钢,0.14,-0.22,-0.13,-0.09,-0.51,0.64,24193108538,济源市,河南省
885,002424.SZ,贵州百灵,0.11,0.4,0.28,0.19,0.37,0.23,15748992000,安顺市,贵州省
886,002425.SZ,凯撒文化,0.14,0.34,0.23,0.14,0.31,0.71,5256789031,汕头市,广东省
887,002426.SZ,胜利精密,-0.05,-0.21,0.09,0.09,0.14,0.77,9567419259,苏州市,江苏省
888,002427.SZ,*ST尤夫,0.01,-2.63,0.04,0.06,0.81,0.3,6243065037,湖州市,浙江省
889,002428.SZ,云南锗业,0,0.01,0.01,0.01,0.01,0.36,4251811200,临沧市,云南省
890,002429.SZ,兆驰股份,0.04,0.1,0.08,0.05,0.13,0.57,13309205385,深圳市,广东省
891,002430.SZ,杭氧股份,0.18,0.77,0.56,0.35,0.41,0.37,11256926078,杭州市,浙江省
892,002431.SZ,棕榈股份,-0.11,0.03,0.01,0.07,0.21,0.84,6245338890,中山市,广东省
893,002432.SZ,九安医疗,-0.08,0.03,-0.16,-0.11,-0.38,0.6,2514602401,南开区,天津市
894,002433.SZ,太安堂,0.05,0.35,0.2,0.09,0.38,1.07,4117572084,汕头市,广东省
895,002434.SZ,万里扬,0.09,0.26,0.27,0.21,0.48,0.58,9313000000,金华市,浙江省
896,002435.SZ,长江润发,0.1,0.44,0.34,0.22,0.68,0.82,6319993176,苏州市,江苏省
897,002436.SZ,兴森科技,0.02,0.14,0.12,0.06,0.11,0.25,7290746770,深圳市,广东省
898,002437.SZ,誉衡药业,0.04,0.06,0.14,0.1,0.14,0.51,9627778521,哈尔滨市,黑龙江省
899,002438.SZ,江苏神通,0.1,0.21,0.13,0.08,0.13,0.47,3677295221,南通市,江苏省
900,002439.SZ,启明星辰,-0.05,0.63,0.13,0.03,0.51,0.09,23950658999,海淀区,北京市
901,002440.SZ,闰土股份,0.23,1.14,0.88,0.61,1.22,0.33,16567200000,绍兴市,浙江省
902,002441.SZ,众业达,0.17,0.38,0.34,0.23,0.37,0.7,4680231512,汕头市,广东省
903,002442.SZ,龙星化工,0,0.28,0.2,0.13,0.1,0.38,3134400000,邢台市,河北省
904,002443.SZ,金洲管道,0.08,0.37,0.21,0.13,0.31,0.54,3576079022,湖州市,浙江省
905,002444.SZ,巨星科技,0.14,0.67,0.53,0.3,0.51,0.51,11515902867,杭州市,浙江省
906,002445.SZ,ST中南,-0.04,-1.5,-0.02,0.06,0.36,0.72,3240329861,无锡市,江苏省
907,002446.SZ,盛路通信,0.08,0.16,0.16,0.12,0.13,0.37,8845001023,佛山市,广东省
908,002447.SZ,晨鑫科技,0.01,-0.45,0.05,0.06,0.19,0.44,4766824620,大连市,辽宁省
909,002448.SZ,中原内配,0.08,0.46,0.32,0.21,0.47,0.75,3542397228,焦作市,河南省
910,002449.SZ,国星光电,0.17,0.72,0.62,0.36,0.75,0.42,8844223517,佛山市,广东省
911,002450.SZ,*ST康得,-0.09,0.08,0.62,0.43,0.7,1.25,14411464148,苏州市,江苏省
912,002451.SZ,摩恩电气,0.13,0.02,0.01,0.03,0.13,0.12,5191344000,浦东新区,上海市
913,002452.SZ,长高集团,0.01,-0.47,-0.06,-0.04,0.12,0.53,2212892000,长沙市,湖南省
914,002453.SZ,华软科技,0.01,0.04,0.04,0.02,0.03,0.25,3416374000,苏州市,江苏省
915,002454.SZ,松芝股份,0.15,0.28,0.1,0.15,0.87,0.94,3570343488,闵行区,上海市
916,002455.SZ,百川股份,0.05,0.2,0.17,0.11,0.22,0.35,2895071995,无锡市,江苏省
917,002456.SZ,欧菲光,-0.1,-0.19,0.51,0.28,0.31,0.23,26504711811,深圳市,广东省
918,002457.SZ,青龙管业,0,0.22,0.11,0.02,0.06,0.64,2857481760,吴忠市,宁夏回族自治区
919,002458.SZ,益生股份,0.67,1.08,0.4,0.1,-0.92,0.13,13581516971,烟台市,山东省
920,002459.SZ,天业通联,0,0.01,0.03,0.02,0.06,0.27,4466040643,秦皇岛市,河北省
921,002460.SZ,赣锋锂业,0.22,1.07,1.01,0.76,1.98,0.26,28753273014,新余市,江西省
922,002461.SZ,珠江啤酒,0.01,0.17,0.14,0.07,0.18,0.53,15028500379,广州市,广东省
923,002462.SZ,嘉事堂,0.39,1.31,1.04,0.74,1.05,0.5,4133684198,海淀区,北京市
924,002463.SZ,沪电股份,0.1,0.34,0.23,0.12,0.12,0.23,18407037474,苏州市,江苏省
925,002464.SZ,众应互联,0.12,0.31,0.35,0.33,0.83,0.19,3685172871,苏州市,江苏省
926,002465.SZ,海格通信,0.01,0.19,0.11,0.08,0.13,0.4,20601004419,广州市,广东省
927,002466.SZ,天齐锂业,0.1,1.93,1.48,1.15,1.94,0.25,32548506254,遂宁市,四川省
928,002467.SZ,二六三,0.05,0.11,0.09,0.05,0.04,0.21,8978758356,昌平区,北京市
929,002468.SZ,申通快递,0.27,1.34,1.05,0.57,0.97,0.66,32162153508,台州市,浙江省
930,002469.SZ,三维工程,0.01,0.08,0.07,0.06,0.11,0.53,2143899737,淄博市,山东省
931,002470.SZ,金正大,0.08,0.13,0.3,0.27,0.23,0.6,14840708508,临沂市,山东省
932,002471.SZ,中超控股,0.01,0.07,0.09,0.06,0.07,0.5,4070280000,无锡市,江苏省
933,002472.SZ,双环传动,0.06,0.29,0.28,0.19,0.36,0.85,4098683441,台州市,浙江省
934,002473.SZ,圣莱达,-0.04,0.08,0.02,0.06,-0.36,0.25,1356800000,宁波市,浙江省
935,002474.SZ,榕基软件,0.02,0.06,0.05,0.04,0.05,0.28,5500248000,福州市,福建省
936,002475.SZ,立讯精密,0.15,0.66,0.4,0.26,0.53,0.1,1.0196E+11,深圳市,广东省
937,002476.SZ,宝莫股份,0.01,-0.43,-0.04,-0.03,0.01,0.25,3451680000,东营市,山东省
938,002477.SZ,*ST雏鹰,-0.35,-1.23,-0.28,-0.16,0.01,0.46,5956803297,郑州市,河南省
939,002478.SZ,常宝股份,0.14,0.49,0.38,0.21,0.17,0.55,5769557203,常州市,江苏省
940,002479.SZ,富春环保,0.04,0.15,0.21,0.15,0.43,0.75,4819199000,杭州市,浙江省
941,002480.SZ,新筑股份,-0.03,0.02,0.02,0.04,0.02,0.68,3417706260,成都市,四川省
942,002481.SZ,双塔食品,0.03,0.07,0.04,0.05,0.03,0.34,7808489200,烟台市,山东省
943,002482.SZ,广田集团,0.03,0.23,0.3,0.18,0.42,0.81,8270564555,深圳市,广东省
944,002483.SZ,润邦股份,0.04,0.1,0.1,0.05,0.13,0.96,2831005070,南通市,江苏省
945,002484.SZ,江海股份,0.05,0.3,0.22,0.13,0.23,0.6,5290358812,南通市,江苏省
946,002485.SZ,希努尔,0,0.24,0.15,0,0.11,0.55,3840640000,潍坊市,山东省
947,002486.SZ,嘉麟杰,0,0.02,0.01,-0.01,0.03,0.32,3120000000,金山区,上海市
948,002487.SZ,大金重工,0.02,0.11,0.08,0.04,0.08,0.72,2386887000,阜新市,辽宁省
949,002488.SZ,金固股份,0.03,0.16,0.19,0.12,0.09,0.48,8999712583,杭州市,浙江省
950,002489.SZ,浙江永强,0.12,-0.05,-0.05,-0.02,0.04,0.41,7571563030,台州市,浙江省
951,002490.SZ,山东墨龙,0.01,0.12,0.1,0.04,0.05,0.85,2775866604,潍坊市,山东省
952,002491.SZ,通鼎互联,0.02,0.45,0.37,0.28,0.48,0.44,10281658124,苏州市,江苏省
953,002492.SZ,恒基达鑫,0.04,0.14,0.13,0.08,0.16,0.51,2251800000,珠海市,广东省
954,002493.SZ,荣盛石化,0.1,0.27,0.3,0.19,0.52,0.19,78638846875,杭州市,浙江省
955,002494.SZ,华斯股份,0.01,0.04,0.03,0.03,-0.2,0.97,2170707405,沧州市,河北省
956,002495.SZ,佳隆股份,0.01,0.04,0.03,0.03,0.02,0.37,3171770784,揭阳市,广东省
957,002496.SZ,辉丰股份,0.01,-0.36,-0.16,0.07,0.27,0.62,4944616498,盐城市,江苏省
958,002497.SZ,雅化集团,0.03,0.19,0.18,0.16,0.25,0.28,6499200000,雅安市,四川省
959,002498.SZ,汉缆股份,0.02,0.07,0.04,0.02,0.08,0.44,10080191880,青岛市,山东省
960,002499.SZ,*ST科林,-0.07,-2.85,0.12,0.15,0.22,0.15,1101870000,苏州市,江苏省
961,002500.SZ,山西证券,0.09,0.08,0.04,0.04,0.14,0.54,23082397248,太原市,山西省
962,002501.SZ,*ST利源,-0.28,-3.33,-0.78,-0.53,0.44,2.71,2502561295,辽源市,吉林省
963,002502.SZ,骅威文化,-0.03,-1.49,0.04,0.04,0.42,0.5,3301742876,汕头市,广东省
964,002503.SZ,搜于特,0.03,0.12,0.18,0.14,0.2,0.52,8566239947,东莞市,广东省
965,002504.SZ,弘高创意,0.05,0.01,0.01,0.01,-0.14,0.58,3877525977,朝阳区,北京市
966,002505.SZ,大康农业,0,-0.12,0.01,0,0,0.45,12726063504,怀化市,湖南省
967,002506.SZ,协鑫集成,0.01,0.01,-0.02,0.01,0.01,0.15,30694238148,奉贤区,上海市
968,002507.SZ,涪陵榨菜,0.2,0.84,0.66,0.39,0.52,0.11,22109896320,涪陵区,重庆市
969,002508.SZ,老板电器,0.34,1.55,1.07,0.7,1.54,0.24,26079180894,杭州市,浙江省
970,002509.SZ,天广中茂,-0.01,-0.18,0.1,0.1,0.24,0.62,6206306813,泉州市,福建省
971,002510.SZ,天汽模,0.03,0.24,0.11,0.09,0.11,0.56,3830740709,滨海新区,天津市
972,002511.SZ,中顺洁柔,0.1,0.32,0.25,0.16,0.47,0.15,12919981903,中山市,广东省
973,002512.SZ,达华智能,-0.04,-1.59,-0.37,-0.21,0.16,0.36,5739823332,福州市,福建省
974,002513.SZ,蓝丰生化,0.04,-2.57,-0.1,0.09,0.1,1.16,2077927159,徐州市,江苏省
975,002514.SZ,宝馨科技,0.1,0.17,0.14,0.08,0.07,0.22,3423931752,苏州市,江苏省
976,002515.SZ,金字火腿,0.03,-0.01,0.01,0.02,0.11,0.25,5253542314,金华市,浙江省
977,002516.SZ,旷达科技,0.03,0.15,0.15,0.1,0.26,0.68,4972920340,常州市,江苏省
978,002517.SZ,恺英网络,0.04,0.08,0.23,0.17,1.12,1,7985840422,泉州市,福建省
979,002518.SZ,科士达,0.08,0.4,0.38,0.26,0.64,0.35,5678842592,深圳市,广东省
980,002519.SZ,银河电子,0.03,-1.03,0.12,0.06,0.16,0.62,4967560260,苏州市,江苏省
981,002520.SZ,日发精机,0.06,0.27,0.11,0.09,0.1,0.47,6081088886,绍兴市,浙江省
982,002521.SZ,齐峰新材,0,0.12,0.11,0.08,0.32,1.08,2780134303,淄博市,山东省
983,002522.SZ,浙江众成,0.01,0.04,0.04,0.03,0.08,0.35,5661121169,嘉兴市,浙江省
984,002523.SZ,天桥起重,0.01,0.08,0.06,0.03,0.12,0.36,5340735816,株洲市,湖南省
985,002524.SZ,光正集团,-0.01,-0.15,-0.02,-0.05,0.01,0.32,2667663840,乌鲁木齐市,新疆维吾尔自治区
986,002526.SZ,山东矿机,0.03,0.09,0.06,0.07,0.13,0.49,4670919850,潍坊市,山东省
987,002527.SZ,新时达,-0.02,-0.42,0.08,0.04,0.22,0.64,3863760661,嘉定区,上海市
988,002528.SZ,英飞拓,0.01,0.12,0.06,0.04,0.12,0.67,5118342600,深圳市,广东省
989,002529.SZ,海源复材,-0.03,-0.67,0.02,0.1,0.03,0.65,2158000000,福州市,福建省
990,002530.SZ,金财互联,0.04,0.37,0.22,0.11,0.47,0.42,8699871561,盐城市,江苏省
991,002531.SZ,天顺风能,0.05,0.26,0.2,0.14,0.26,0.43,9428800700,苏州市,江苏省
992,002532.SZ,新界泵业,0.05,0.26,0.22,0.13,0.25,0.42,3370636154,台州市,浙江省
993,002533.SZ,金杯电工,0.07,0.24,0.2,0.13,0.23,0.7,2926011571,长沙市,湖南省
994,002534.SZ,杭锅股份,0.12,0.33,0.26,0.21,0.57,0.66,4820013342,杭州市,浙江省
995,002535.SZ,林州重机,-0.01,-0.18,0.09,0.08,0.04,0.84,3463270880,安阳市,河南省
996,002536.SZ,西泵股份,0.08,0.74,0.56,0.39,0.72,0.58,3394826099,南阳市,河南省
997,002537.SZ,海联金汇,0.1,0.11,0.23,0.16,0.33,0.52,12024311704,青岛市,山东省
998,002538.SZ,司尔特,0.06,0.42,0.26,0.14,0.3,0.86,4086104410,宣城市,安徽省
999,002539.SZ,云图控股,0.04,0.17,0.14,0.09,0.1,0.66,4828278000,成都市,四川省
1000,002540.SZ,亚太科技,0.06,0.3,0.23,0.15,0.29,0.74,6365352795,无锡市,江苏省
1001,002541.SZ,鸿路钢构,0.13,0.79,0.64,0.31,0.6,0.8,4268308652,合肥市,安徽省
1002,002542.SZ,中化岩土,0.02,0.12,0.09,0.05,0.13,0.35,9000890912,大兴区,北京市
1003,002543.SZ,万和电气,0.31,0.85,0.64,0.63,0.94,0.31,7973680000,佛山市,广东省
1004,002544.SZ,杰赛科技,0.04,0.02,0.07,0.07,0.35,0.24,7550698448,广州市,广东省
1005,002545.SZ,东方铁塔,0.02,0.35,0.17,0.12,0.19,0.79,8646276356,青岛市,山东省
1006,002546.SZ,新联电子,0.03,0.19,0.12,0.08,0.13,0.71,3953392715,南京市,江苏省
1007,002547.SZ,春兴精工,0,0.04,0.04,0.03,-0.32,0.18,14879074046,苏州市,江苏省
1008,002548.SZ,金新农,-0.03,-0.75,-0.14,-0.1,0.18,0.25,6162507430,深圳市,广东省
1009,002549.SZ,凯美特气,0.03,0.15,0.11,0.07,0.08,0.21,4465692000,岳阳市,湖南省
1010,002550.SZ,千红制药,0.07,0.17,0.17,0.13,0.14,0.43,6195200000,常州市,江苏省
1011,002551.SZ,尚荣医疗,0.04,0.15,0.15,0.14,0.26,0.47,3882548527,深圳市,广东省
1012,002552.SZ,宝鼎科技,0.05,0.09,0.08,0.07,-0.45,0.27,2214059804,杭州市,浙江省
1013,002553.SZ,南方轴承,0.04,0.26,0.27,0.24,0.23,0.32,2314200000,常州市,江苏省
1014,002554.SZ,惠博普,0.08,-0.47,0.03,0.06,0.08,0.46,4090494200,海淀区,北京市
1015,002555.SZ,三七互娱,0.21,0.47,0.57,0.37,0.76,0.22,30704375156,芜湖市,安徽省
1016,002556.SZ,辉隆股份,0.06,0.19,0.19,0.15,0.19,0.51,3839160000,合肥市,安徽省
1017,002557.SZ,洽洽食品,0.22,0.85,0.6,0.34,0.63,0.27,10991760000,合肥市,安徽省
1018,002558.SZ,巨人网络,0.14,0.53,0.49,0.35,0.64,0.49,37714198133,南岸区,重庆市
1019,002559.SZ,亚威股份,0.07,0.3,0.24,0.18,0.26,0.48,3513692791,扬州市,江苏省
1020,002560.SZ,通达股份,0.08,-0.03,0.07,0.03,0.03,0.61,2556611153,洛阳市,河南省
1021,002561.SZ,徐家汇,0.16,0.56,0.41,0.3,0.57,0.63,3770970410,徐汇区,上海市
1022,002562.SZ,兄弟科技,-0.03,0.03,0.09,0.1,0.76,0.54,4212911712,嘉兴市,浙江省
1023,002563.SZ,森马服饰,0.13,0.63,0.47,0.25,0.42,0.41,29158355160,温州市,浙江省
1024,002564.SZ,天沃科技,0.01,0.09,0.2,0.14,0.31,0.65,4732421184,苏州市,江苏省
1025,002565.SZ,顺灏股份,0.06,0.14,0.09,0.07,0.15,0.2,9962919841,普陀区,上海市
1026,002566.SZ,益盛药业,0.05,0.21,0.16,0.12,0.18,0.77,2422565712,通化市,吉林省
1027,002567.SZ,唐人神,0.01,0.16,0.15,0.08,0.39,0.29,11711991186,株洲市,湖南省
1028,002568.SZ,百润股份,0.08,0.2,0.2,0.11,0.22,0.3,8498773328,浦东新区,上海市
1029,002569.SZ,*ST步森,0.01,-1.38,-0.04,-0.09,-0.24,0.28,1456104000,绍兴市,浙江省
1030,002570.SZ,贝因美,0.01,0.04,0.03,0.01,-1.03,0.4,6165795600,杭州市,浙江省
1031,002571.SZ,德力股份,0.01,-0.33,-0.11,-0.06,0.13,0.7,2179245892,滁州市,安徽省
1032,002572.SZ,索菲亚,0.12,1.04,0.75,0.4,0.98,0.19,19973711085,广州市,广东省
1033,002573.SZ,清新环境,0.09,0.49,0.46,0.33,0.61,0.58,8282544286,海淀区,北京市
1034,002574.SZ,明牌珠宝,0.08,0.17,0.16,0.11,0.17,1.06,2993760000,绍兴市,浙江省
1035,002575.SZ,群兴玩具,0,0.01,0.01,0.01,-0.04,0.22,4244671200,汕头市,广东省
1036,002576.SZ,通达动力,0.04,0.12,0.1,0.06,0.02,0.47,1857375000,南通市,江苏省
1037,002577.SZ,雷柏科技,0.01,0.03,0.06,0.06,0.07,0.43,3128652800,深圳市,广东省
1038,002578.SZ,闽发铝业,0,0.04,0.02,0.01,0.04,0.43,3537374000,泉州市,福建省
1039,002579.SZ,中京电子,0.04,0.22,0.16,0.11,0.06,0.23,3474242496,惠州市,广东省
1040,002580.SZ,圣阳股份,0.01,0.05,0.04,0.03,0.09,0.59,2014585622,济宁市,山东省
1041,002581.SZ,未名医药,-0.02,-0.15,0.02,0.01,0.59,0.81,5020587809,淄博市,山东省
1042,002582.SZ,好想你,0.26,0.25,0.21,0.2,0.21,0.7,4733980589,郑州市,河南省
1043,002583.SZ,海能达,-0.05,0.26,0.07,0,0.14,0.34,17159639386,深圳市,广东省
1044,002584.SZ,西陇科学,-0.03,0.12,0.13,0.08,0.15,0.55,3265507635,汕头市,广东省
1045,002585.SZ,双星新材,0.04,0.28,0.23,0.14,0.07,1.26,6105148289,宿迁市,江苏省
1046,002586.SZ,围海股份,0.03,0.23,0.18,0.09,0.22,0.82,6030058973,宁波市,浙江省
1047,002587.SZ,奥拓电子,0.06,0.29,0.2,0.14,0.22,0.28,3665751817,深圳市,广东省
1048,002588.SZ,史丹利,0.03,0.17,0.17,0.15,0.23,0.59,5703438120,临沂市,山东省
1049,002589.SZ,瑞康医药,0.13,0.52,0.55,0.39,0.67,0.56,11480940894,烟台市,山东省
1050,002590.SZ,万安科技,0.01,-0.07,0.16,0.14,0.27,0.44,3688484861,绍兴市,浙江省
1051,002591.SZ,恒大高新,0.1,0.11,0.08,0.05,0.05,0.46,2531346749,南昌市,江西省
1052,002592.SZ,八菱科技,-0.03,0.03,0.05,0.04,0.48,0.31,5686456321,南宁市,广西壮族自治区
1053,002593.SZ,日上集团,0.01,0.11,0.09,0.06,0.1,0.58,2566062600,厦门市,福建省
1054,002594.SZ,比亚迪,0.25,0.93,0.49,0.13,1.4,0.22,1.3379E+11,深圳市,广东省
1055,002595.SZ,豪迈科技,0.2,0.92,0.72,0.44,0.84,0.27,16800000000,潍坊市,山东省
1056,002596.SZ,海南瑞泽,0.03,0.12,0.1,0.07,0.18,0.36,9117913122,三亚市,海南省
1057,002597.SZ,金禾实业,0.32,1.62,1.34,0.96,1.81,0.4,10130496311,滁州市,安徽省
1058,002598.SZ,山东章鼓,0.05,0.27,0.2,0.12,0.22,0.39,2205840000,济南市,山东省
1059,002599.SZ,盛通股份,0.04,0.38,0.22,0.16,0.29,0.45,3238993491,大兴区,北京市
1060,002600.SZ,领益智造,0.09,-0.1,-0.05,-0.09,0.6,0.62,42794373780,江门市,广东省
1061,002601.SZ,龙蟒佰利,0.32,1.15,0.98,0.67,1.25,0.41,31476003571,焦作市,河南省
1062,002602.SZ,世纪华通,0.09,0.43,0.62,0.51,0.76,0.23,44874015010,绍兴市,浙江省
1063,002603.SZ,以岭药业,0.24,0.5,0.47,0.37,0.45,0.49,14632498852,石家庄市,河北省
1064,002604.SZ,*ST龙力,-0.16,-4.68,-0.42,-0.25,-5.81,-2.07,1175140348,德州市,山东省
1065,002605.SZ,姚记扑克,0.13,0.33,0.19,0.11,0.19,0.38,4256130301,嘉定区,上海市
1066,002606.SZ,大连电瓷,-0.02,-0.05,-0.02,0.01,0.15,0.33,2481650640,大连市,辽宁省
1067,002607.SZ,中公教育,0.02,0.22,0.05,0.05,0.09,0.27,75365620534,芜湖市,安徽省
1068,002608.SZ,江苏国信,0.29,0.72,0.45,0.31,0.67,0.69,31811431108,南京市,江苏省
1069,002609.SZ,捷顺科技,-0.03,0.14,0.08,0.06,0.32,0.33,5580444162,深圳市,广东省
1070,002610.SZ,爱康科技,0,0.03,0.03,0.02,0.03,0.66,8933350336,无锡市,江苏省
1071,002611.SZ,东方精工,0.01,-2.11,0.19,0.11,0.5,0.39,8402617229,佛山市,广东省
1072,002612.SZ,朗姿股份,0.13,0.53,0.46,0.28,0.47,0.61,3584000000,顺义区,北京市
1073,002613.SZ,北玻股份,-0.02,0.04,0.08,0.08,-0.06,0.46,2830253400,洛阳市,河南省
1074,002614.SZ,奥佳华,0.07,0.79,0.56,0.26,0.63,0.24,9994468600,厦门市,福建省
