,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
58,000096.SZ,广聚能源,0.02,0.2,0.18,0.15,0.28,0.35,5338080000,深圳市,广东省
59,000099.SZ,中信海直,0.04,0.25,0.15,0.07,0.15,0.69,4351585616,深圳市,广东省
60,000100.SZ,TCL集团,0.06,0.26,0.18,0.12,0.22,0.67,48101252200,惠州市,广东省
61,000150.SZ,宜华健康,0.08,0.28,0.33,0.39,0.39,0.34,6068651685,汕头市,广东省
62,000151.SZ,中成股份,0,0.28,0.22,0.19,0.3,0.29,3534001200,丰台区,北京市
63,000153.SZ,丰原药业,0.05,0.19,0.18,0.12,0.21,0.46,2050767881,芜湖市,安徽省
64,000155.SZ,川能动力,0.12,0.24,-0.01,0.03,0.26,0.57,5588000000,成都市,四川省
65,000156.SZ,华数传媒,0.16,0.45,0.34,0.22,0.45,0.66,15996207226,杭州市,浙江省
66,000157.SZ,中联重科,0.13,0.26,0.17,0.11,0.17,1.11,35925053258,长沙市,湖南省
67,000158.SZ,常山北明,-0.01,0.11,0.02,0.02,0.21,0.54,9669318522,石家庄市,河北省
68,000159.SZ,国际实业,0.05,0.12,0.06,-0.08,-0.14,0.35,4691495292,乌鲁木齐市,新疆维吾尔自治区
69,000166.SZ,申万宏源,0.08,0.19,0.15,0.09,0.23,0.42,1.15782E+11,乌鲁木齐市,新疆维吾尔自治区
70,000301.SZ,东方盛虹,0.08,0.26,0.22,0.06,0.19,0.75,22159792721,苏州市,江苏省
71,000333.SZ,美的集团,0.94,3.08,2.72,1.97,2.66,0.11,3.35247E+11,佛山市,广东省
72,000338.SZ,潍柴动力,0.33,1.08,0.75,0.55,0.85,0.44,94209790944,潍坊市,山东省
73,000400.SZ,许继电气,0.03,0.2,0.15,0.13,0.61,0.68,9236278150,许昌市,河南省
74,000401.SZ,冀东水泥,0.03,1.1,1.05,0.38,0.08,0.8,22193702394,唐山市,河北省
