,fundCode,fundName,manager,maxReduceCode,maxReduceShare
160,005802.OF,汇添富智能制造,赵鹏飞,0939.HK,-33000000.0
162,005763.OF,中欧电子信息产业C,刘晨,300590.SZ,-752700.0
163,005707.OF,富国港股通量化精选,徐幼华,0939.HK,-55000.0
164,005669.OF,前海开源公用事业,史程,601139.SH,-150000.0
165,005663.OF,嘉实金融精选C,李欣,2328.HK,-954000.0
166,005662.OF,嘉实金融精选A,李欣,2328.HK,-954000.0
167,005661.OF,嘉实资源精选C,吴云峰,002768.SZ,-9900.0
168,005660.OF,嘉实资源精选A,吴云峰,002768.SZ,-9900.0
173,005621.OF,中欧品质消费C,郭睿,603345.SH,-62800.0
174,005620.OF,中欧品质消费A,郭睿,603345.SH,-62800.0
175,005612.OF,嘉实核心优势,胡宇飞,000651.SZ,-2699890.0
178,005530.OF,汇添富价值多因子量化策略,吴振翔,601398.SH,-208600.0
183,005502.OF,华泰紫金智能量化,毛甜,600036.SH,-52400.0
184,005496.OF,创金合信科技成长C,周志敏,000063.SZ,16200.0
185,005495.OF,创金合信科技成长A,周志敏,000063.SZ,16200.0
186,005457.OF,景顺长城量化小盘,黎海威,600971.SH,-247600.0
187,005402.OF,广发资源优选,孙迪,000708.SZ,-46800.0
188,005328.OF,前海开源价值策略,肖立强,002384.SZ,40042.0
189,005310.OF,广发电子信息传媒产业精选,观富钦,002475.SZ,0.0
190,005304.OF,嘉实医药健康C,颜媛,600529.SH,-713560.0
191,005303.OF,嘉实医药健康A,颜媛,600529.SH,-713560.0
192,005268.OF,鹏华优势企业,陈璇淼,002475.SZ,-326700.0
193,005267.OF,嘉实价值精选,谭丽,2333.HK,-15734500.0
194,005259.OF,建信龙头企业,姚锦,2020.HK,-53000.0
195,005240.OF,银华文体娱乐C,李宜璇,002027.SZ,-21548.0
196,005239.OF,银华文体娱乐A,李宜璇,002027.SZ,-21548.0
197,005238.OF,银华医疗健康C,马君,603259.SH,-13641.0
198,005237.OF,银华医疗健康A,马君,603259.SH,-13641.0
199,005236.OF,银华食品饮料C,马君,600887.SH,-19438.0
200,005235.OF,银华食品饮料A,马君,600887.SH,-19438.0
